Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
0,13/11/21,fnatic,MAD Lions,United Kingdom,Europe,Ancient,16,14,DreamHack Open November 2021
1,12/11/21,forZe,ENCE,Russia,Europe,Mirage,16,10,DreamHack Open November 2021
2,12/11/21,forZe,ENCE,Russia,Europe,Nuke,16,8,DreamHack Open November 2021
3,12/11/21,ENCE,forZe,Europe,Russia,Ancient,16,7,DreamHack Open November 2021
4,12/11/21,1WIN,Nemiga,Russia,Belarus,Nuke,6,16,ESEA Premier Season 39 Europe
5,12/11/21,Nemiga,1WIN,Belarus,Russia,Dust2,16,11,ESEA Premier Season 39 Europe
6,12/11/21,1WIN,Nemiga,Russia,Belarus,Mirage,16,10,ESEA Premier Season 39 Europe
7,12/11/21,Dignitas,Copenhagen Flames,Sweden,Denmark,Mirage,7,16,REPUBLEAGUE TIPOS Season 2
8,12/11/21,Copenhagen Flames,Dignitas,Denmark,Sweden,Inferno,16,12,REPUBLEAGUE TIPOS Season 2
9,12/11/21,Dignitas,Copenhagen Flames,Sweden,Denmark,Ancient,16,6,REPUBLEAGUE TIPOS Season 2
10,12/11/21,MAD Lions,MOUZ,Europe,Europe,Nuke,16,8,DreamHack Open November 2021
11,12/11/21,MOUZ,MAD Lions,Europe,Europe,Dust2,13,16,DreamHack Open November 2021
12,11/11/21,fnatic,ENCE,United Kingdom,Europe,Nuke,16,9,DreamHack Open November 2021
13,11/11/21,ENCE,fnatic,Europe,United Kingdom,Overpass,14,16,DreamHack Open November 2021
14,11/11/21,1WIN,LDLC,Russia,France,Ancient,16,8,ESEA Premier Season 39 Europe
15,11/11/21,LDLC,1WIN,France,Russia,Vertigo,14,16,ESEA Premier Season 39 Europe
16,11/11/21,1WIN,LDLC,Russia,France,Nuke,8,16,ESEA Premier Season 39 Europe
17,11/11/21,forZe,Spirit,Russia,Russia,Nuke,16,0,DreamHack Open November 2021
18,11/11/21,Spirit,forZe,Russia,Russia,Ancient,15,19,DreamHack Open November 2021
19,11/11/21,GamerLegion,MOUZ,Sweden,Europe,Nuke,13,16,DreamHack Open November 2021
20,11/11/21,MOUZ,GamerLegion,Europe,Sweden,Ancient,16,11,DreamHack Open November 2021
21,11/11/21,MAD Lions,BIG,Europe,Germany,Dust2,13,16,DreamHack Open November 2021
22,11/11/21,BIG,MAD Lions,Germany,Europe,Mirage,16,4,DreamHack Open November 2021
23,10/11/21,Spirit,fnatic,Russia,United Kingdom,Inferno,4,16,DreamHack Open November 2021
24,10/11/21,fnatic,Spirit,United Kingdom,Russia,Mirage,16,9,DreamHack Open November 2021
25,10/11/21,Sinners,Entropiq,Czech Republic,Russia,Mirage,14,16,REPUBLEAGUE TIPOS Season 2
26,10/11/21,Entropiq,Sinners,Russia,Czech Republic,Nuke,16,5,REPUBLEAGUE TIPOS Season 2
27,10/11/21,DBL PONEY,Finest,France,Europe,Overpass,7,16,ESEA Premier Season 39 Europe
28,10/11/21,Finest,DBL PONEY,Europe,France,Vertigo,16,13,ESEA Premier Season 39 Europe
29,10/11/21,forZe,ENCE,Russia,Europe,Nuke,10,16,DreamHack Open November 2021
30,10/11/21,ENCE,forZe,Europe,Russia,Ancient,16,13,DreamHack Open November 2021
31,10/11/21,SKADE,Fiend,Bulgaria,Bulgaria,Mirage,10,16,REPUBLEAGUE TIPOS Season 2
32,10/11/21,SKADE,Fiend,Bulgaria,Bulgaria,Inferno,16,11,REPUBLEAGUE TIPOS Season 2
33,10/11/21,Fiend,SKADE,Bulgaria,Bulgaria,Dust2,16,11,REPUBLEAGUE TIPOS Season 2
34,10/11/21,GamerLegion,BIG,Sweden,Germany,Vertigo,14,16,DreamHack Open November 2021
35,10/11/21,GamerLegion,BIG,Sweden,Germany,Overpass,19,16,DreamHack Open November 2021
36,10/11/21,BIG,GamerLegion,Germany,Sweden,Mirage,16,12,DreamHack Open November 2021
37,10/11/21,MAD Lions,MOUZ,Europe,Europe,Mirage,16,8,DreamHack Open November 2021
38,10/11/21,MAD Lions,MOUZ,Europe,Europe,Nuke,10,16,DreamHack Open November 2021
39,10/11/21,MOUZ,MAD Lions,Europe,Europe,Dust2,12,16,DreamHack Open November 2021
40,9/11/21,forZe,Finest,Russia,Europe,Inferno,7,16,ESEA Premier Season 39 Europe
41,9/11/21,forZe,Finest,Russia,Europe,Overpass,14,16,ESEA Premier Season 39 Europe
42,9/11/21,Finest,forZe,Europe,Russia,Mirage,6,16,ESEA Premier Season 39 Europe
43,9/11/21,Movistar Riders,Nemiga,Spain,Belarus,Mirage,16,13,ESEA Premier Season 39 Europe
44,9/11/21,Nemiga,Movistar Riders,Belarus,Spain,Inferno,7,16,ESEA Premier Season 39 Europe
45,9/11/21,BLINK,Sprout,Albania,Germany,Vertigo,7,16,ESEA Premier Season 39 Europe
46,9/11/21,Sprout,BLINK,Germany,Albania,Overpass,16,14,ESEA Premier Season 39 Europe
47,9/11/21,Entropiq,Lyngby Vikings,Russia,Denmark,Nuke,16,12,Pinnacle Fall Series 2
48,9/11/21,Lyngby Vikings,Entropiq,Denmark,Russia,Overpass,13,16,Pinnacle Fall Series 2
49,9/11/21,Entropiq,Lyngby Vikings,Russia,Denmark,Vertigo,14,16,Pinnacle Fall Series 2
50,3/11/21,GamerLegion,Finest,Sweden,Europe,Mirage,7,16,ESEA Premier Season 39 Europe
51,3/11/21,Finest,GamerLegion,Europe,Sweden,Vertigo,7,16,ESEA Premier Season 39 Europe
52,3/11/21,GamerLegion,Finest,Sweden,Europe,Inferno,7,16,ESEA Premier Season 39 Europe
53,3/11/21,Sinners,AGO,Czech Republic,Poland,Ancient,5,16,ESEA Premier Season 39 Europe
54,3/11/21,AGO,Sinners,Poland,Czech Republic,Nuke,16,10,ESEA Premier Season 39 Europe
55,3/11/21,Sinners,AGO,Czech Republic,Poland,Mirage,16,11,ESEA Premier Season 39 Europe
56,3/11/21,TeamOne,Extra Salt,Brazil,North America,Nuke,6,16,ESEA Premier Season 39 North America
57,3/11/21,Extra Salt,TeamOne,North America,Brazil,Inferno,16,1,ESEA Premier Season 39 North America
58,2/11/21,NIP,Copenhagen Flames,Sweden,Denmark,Ancient,19,17,PGL Major Stockholm 2021
59,2/11/21,Copenhagen Flames,NIP,Denmark,Sweden,Inferno,13,16,PGL Major Stockholm 2021
60,2/11/21,NIP,Copenhagen Flames,Sweden,Denmark,Nuke,10,16,PGL Major Stockholm 2021
61,2/11/21,Sinners,GamerLegion,Czech Republic,Sweden,Vertigo,19,16,ESEA Premier Season 39 Europe
62,2/11/21,GamerLegion,Sinners,Sweden,Czech Republic,Inferno,11,16,ESEA Premier Season 39 Europe
63,2/11/21,FaZe,Virtus.pro,Europe,CIS,Overpass,11,16,PGL Major Stockholm 2021
64,2/11/21,Virtus.pro,FaZe,CIS,Europe,Ancient,16,14,PGL Major Stockholm 2021
65,2/11/21,FaZe,Virtus.pro,Europe,CIS,Inferno,16,13,PGL Major Stockholm 2021
66,2/11/21,Vitality,Entropiq,France,Russia,Dust2,16,5,PGL Major Stockholm 2021
67,2/11/21,Entropiq,Vitality,Russia,France,Overpass,16,13,PGL Major Stockholm 2021
68,2/11/21,Vitality,Entropiq,France,Russia,Mirage,16,14,PGL Major Stockholm 2021
69,1/11/21,Virtus.pro,MOUZ,CIS,Europe,Vertigo,22,18,PGL Major Stockholm 2021
70,1/11/21,MOUZ,Virtus.pro,Europe,CIS,Inferno,3,16,PGL Major Stockholm 2021
71,1/11/21,Virtus.pro,MOUZ,CIS,Europe,Ancient,9,16,PGL Major Stockholm 2021
72,1/11/21,Copenhagen Flames,Heroic,Denmark,Denmark,Overpass,11,16,PGL Major Stockholm 2021
73,1/11/21,Heroic,Copenhagen Flames,Denmark,Denmark,Ancient,13,16,PGL Major Stockholm 2021
74,1/11/21,Copenhagen Flames,Heroic,Denmark,Denmark,Nuke,4,16,PGL Major Stockholm 2021
75,1/11/21,Gambit,NIP,Russia,Sweden,Inferno,16,6,PGL Major Stockholm 2021
76,1/11/21,NIP,Gambit,Sweden,Russia,Dust2,13,16,PGL Major Stockholm 2021
77,1/11/21,Vitality,Astralis,France,Denmark,Dust2,16,13,PGL Major Stockholm 2021
78,1/11/21,Astralis,Vitality,Denmark,France,Vertigo,16,14,PGL Major Stockholm 2021
79,1/11/21,Vitality,Astralis,France,Denmark,Nuke,16,10,PGL Major Stockholm 2021
80,1/11/21,FURIA,Entropiq,Brazil,Russia,Ancient,16,12,PGL Major Stockholm 2021
81,1/11/21,Entropiq,FURIA,Russia,Brazil,Nuke,16,8,PGL Major Stockholm 2021
82,1/11/21,FURIA,Entropiq,Brazil,Russia,Vertigo,16,6,PGL Major Stockholm 2021
83,1/11/21,Liquid,FaZe,United States,Europe,Mirage,19,22,PGL Major Stockholm 2021
84,1/11/21,FaZe,Liquid,Europe,United States,Inferno,16,8,PGL Major Stockholm 2021
85,31/10/21,ENCE,MOUZ,Europe,Europe,Vertigo,10,16,PGL Major Stockholm 2021
86,31/10/21,MOUZ,ENCE,Europe,Europe,Mirage,16,6,PGL Major Stockholm 2021
87,31/10/21,Natus Vincere,NIP,Russia,Sweden,Overpass,16,9,PGL Major Stockholm 2021
88,31/10/21,NIP,Natus Vincere,Sweden,Russia,Nuke,9,16,PGL Major Stockholm 2021
89,31/10/21,Vitality,Evil Geniuses,France,North America,Dust2,16,12,PGL Major Stockholm 2021
90,31/10/21,Evil Geniuses,Vitality,North America,France,Vertigo,5,16,PGL Major Stockholm 2021
91,31/10/21,Vitality,Evil Geniuses,France,North America,Inferno,13,16,PGL Major Stockholm 2021
92,31/10/21,G2,Entropiq,Europe,Russia,Dust2,16,8,PGL Major Stockholm 2021
93,31/10/21,G2,Entropiq,Europe,Russia,Mirage,16,14,PGL Major Stockholm 2021
94,31/10/21,Heroic,Astralis,Denmark,Denmark,Ancient,16,7,PGL Major Stockholm 2021
95,31/10/21,FURIA,Liquid,Brazil,United States,Inferno,16,9,PGL Major Stockholm 2021
96,31/10/21,FaZe,Copenhagen Flames,Europe,Denmark,Ancient,6,16,PGL Major Stockholm 2021
97,31/10/21,Virtus.pro,Gambit,CIS,Russia,Vertigo,14,16,PGL Major Stockholm 2021
98,30/10/21,NIP,Astralis,Sweden,Denmark,Inferno,16,1,PGL Major Stockholm 2021
99,30/10/21,MOUZ,FURIA,Europe,Brazil,Inferno,9,16,PGL Major Stockholm 2021
100,30/10/21,Natus Vincere,Virtus.pro,Russia,CIS,Overpass,16,4,PGL Major Stockholm 2021
101,30/10/21,Vitality,Heroic,France,Denmark,Overpass,12,16,PGL Major Stockholm 2021
102,30/10/21,Gambit,Entropiq,Russia,Russia,Vertigo,9,16,PGL Major Stockholm 2021
103,30/10/21,ENCE,Liquid,Europe,United States,Dust2,8,16,PGL Major Stockholm 2021
104,30/10/21,FaZe,G2,Europe,Europe,Mirage,7,16,PGL Major Stockholm 2021
105,30/10/21,Copenhagen Flames,Evil Geniuses,Denmark,North America,Nuke,16,2,PGL Major Stockholm 2021
106,30/10/21,Astralis,FURIA,Denmark,Brazil,Inferno,16,10,PGL Major Stockholm 2021
107,30/10/21,NIP,MOUZ,Sweden,Europe,Inferno,16,12,PGL Major Stockholm 2021
108,30/10/21,Natus Vincere,Heroic,Russia,Denmark,Ancient,16,11,PGL Major Stockholm 2021
109,30/10/21,Virtus.pro,Vitality,CIS,France,Inferno,16,14,PGL Major Stockholm 2021
110,30/10/21,Liquid,Entropiq,United States,Russia,Vertigo,9,16,PGL Major Stockholm 2021
111,30/10/21,ENCE,Gambit,Europe,Russia,Overpass,7,16,PGL Major Stockholm 2021
112,30/10/21,G2,Copenhagen Flames,Europe,Denmark,Ancient,16,11,PGL Major Stockholm 2021
113,30/10/21,FaZe,Evil Geniuses,Europe,North America,Dust2,16,6,PGL Major Stockholm 2021
114,29/10/21,Spirit,Astralis,Russia,Denmark,Inferno,12,16,PGL Major Stockholm 2021 Challengers Stage
115,29/10/21,Astralis,Spirit,Denmark,Russia,Dust2,16,8,PGL Major Stockholm 2021 Challengers Stage
116,29/10/21,MOUZ,BIG,Europe,Germany,Nuke,16,12,PGL Major Stockholm 2021 Challengers Stage
117,29/10/21,BIG,MOUZ,Germany,Europe,Inferno,12,16,PGL Major Stockholm 2021 Challengers Stage
118,29/10/21,MOUZ,BIG,Europe,Germany,Dust2,10,16,PGL Major Stockholm 2021 Challengers Stage
119,29/10/21,Movistar Riders,Heroic,Spain,Denmark,Overpass,14,16,PGL Major Stockholm 2021 Challengers Stage
120,29/10/21,Heroic,Movistar Riders,Denmark,Spain,Inferno,16,7,PGL Major Stockholm 2021 Challengers Stage
121,28/10/21,MOUZ,Renegades,Europe,Australia,Vertigo,16,6,PGL Major Stockholm 2021 Challengers Stage
122,28/10/21,Renegades,MOUZ,Australia,Europe,Inferno,10,16,PGL Major Stockholm 2021 Challengers Stage
123,28/10/21,MOUZ,Renegades,Europe,Australia,Mirage,14,16,PGL Major Stockholm 2021 Challengers Stage
124,28/10/21,Astralis,paiN,Denmark,Brazil,Ancient,19,16,PGL Major Stockholm 2021 Challengers Stage
125,28/10/21,paiN,Astralis,Brazil,Denmark,Nuke,8,16,PGL Major Stockholm 2021 Challengers Stage
126,28/10/21,ENCE,BIG,Europe,Germany,Nuke,16,10,PGL Major Stockholm 2021 Challengers Stage
127,28/10/21,BIG,ENCE,Germany,Europe,Mirage,8,16,PGL Major Stockholm 2021 Challengers Stage
128,28/10/21,ENCE,BIG,Europe,Germany,Dust2,10,16,PGL Major Stockholm 2021 Challengers Stage
129,28/10/21,TYLOO,Movistar Riders,China,Spain,Vertigo,16,19,PGL Major Stockholm 2021 Challengers Stage
130,28/10/21,Movistar Riders,TYLOO,Spain,China,Mirage,7,16,PGL Major Stockholm 2021 Challengers Stage
131,28/10/21,TYLOO,Movistar Riders,China,Spain,Inferno,14,16,PGL Major Stockholm 2021 Challengers Stage
132,28/10/21,Spirit,Virtus.pro,Russia,CIS,Overpass,15,19,PGL Major Stockholm 2021 Challengers Stage
133,28/10/21,Virtus.pro,Spirit,CIS,Russia,Ancient,12,16,PGL Major Stockholm 2021 Challengers Stage
134,28/10/21,Spirit,Virtus.pro,Russia,CIS,Inferno,7,16,PGL Major Stockholm 2021 Challengers Stage
135,28/10/21,Heroic,Entropiq,Denmark,Russia,Mirage,4,16,PGL Major Stockholm 2021 Challengers Stage
136,28/10/21,Entropiq,Heroic,Russia,Denmark,Nuke,16,14,PGL Major Stockholm 2021 Challengers Stage
137,28/10/21,Heroic,Entropiq,Denmark,Russia,Ancient,16,10,PGL Major Stockholm 2021 Challengers Stage
138,27/10/21,paiN,Sharks,Brazil,Brazil,Nuke,16,4,PGL Major Stockholm 2021 Challengers Stage
139,27/10/21,Sharks,paiN,Brazil,Brazil,Ancient,20,22,PGL Major Stockholm 2021 Challengers Stage
140,27/10/21,paiN,Sharks,Brazil,Brazil,Vertigo,16,19,PGL Major Stockholm 2021 Challengers Stage
141,27/10/21,Astralis,GODSENT,Denmark,Brazil,Vertigo,16,11,PGL Major Stockholm 2021 Challengers Stage
142,27/10/21,GODSENT,Astralis,Brazil,Denmark,Nuke,3,16,PGL Major Stockholm 2021 Challengers Stage
143,27/10/21,Heroic,Copenhagen Flames,Denmark,Denmark,Overpass,12,16,PGL Major Stockholm 2021 Challengers Stage
144,27/10/21,Copenhagen Flames,Heroic,Denmark,Denmark,Nuke,11,16,PGL Major Stockholm 2021 Challengers Stage
145,27/10/21,Heroic,Copenhagen Flames,Denmark,Denmark,Vertigo,7,16,PGL Major Stockholm 2021 Challengers Stage
146,27/10/21,Virtus.pro,FaZe,CIS,Europe,Ancient,6,16,PGL Major Stockholm 2021 Challengers Stage
147,27/10/21,FaZe,Virtus.pro,Europe,CIS,Mirage,16,14,PGL Major Stockholm 2021 Challengers Stage
148,27/10/21,Entropiq,Movistar Riders,Russia,Spain,Mirage,16,12,PGL Major Stockholm 2021 Challengers Stage
149,27/10/21,ENCE,MOUZ,Europe,Europe,Nuke,16,11,PGL Major Stockholm 2021 Challengers Stage
150,27/10/21,Renegades,BIG,Australia,Germany,Inferno,9,16,PGL Major Stockholm 2021 Challengers Stage
151,27/10/21,Spirit,TYLOO,Russia,China,Overpass,16,3,PGL Major Stockholm 2021 Challengers Stage
152,26/10/21,Virtus.pro,Movistar Riders,CIS,Spain,Vertigo,16,12,PGL Major Stockholm 2021 Challengers Stage
153,26/10/21,Heroic,MOUZ,Denmark,Europe,Nuke,16,11,PGL Major Stockholm 2021 Challengers Stage
154,26/10/21,ENCE,FaZe,Europe,Europe,Dust2,12,16,PGL Major Stockholm 2021 Challengers Stage
155,26/10/21,Copenhagen Flames,BIG,Denmark,Germany,Nuke,16,11,PGL Major Stockholm 2021 Challengers Stage
156,26/10/21,Sharks,TYLOO,Brazil,China,Mirage,14,16,PGL Major Stockholm 2021 Challengers Stage
157,26/10/21,paiN,Renegades,Brazil,Australia,Nuke,14,16,PGL Major Stockholm 2021 Challengers Stage
158,26/10/21,Spirit,GODSENT,Russia,Brazil,Nuke,16,12,PGL Major Stockholm 2021 Challengers Stage
159,26/10/21,Astralis,Entropiq,Denmark,Russia,Dust2,6,16,PGL Major Stockholm 2021 Challengers Stage
160,26/10/21,MOUZ,Sharks,Europe,Brazil,Inferno,16,6,PGL Major Stockholm 2021 Challengers Stage
161,26/10/21,Heroic,TYLOO,Denmark,China,Inferno,16,12,PGL Major Stockholm 2021 Challengers Stage
162,26/10/21,Renegades,Movistar Riders,Australia,Spain,Nuke,13,16,PGL Major Stockholm 2021 Challengers Stage
163,26/10/21,Entropiq,BIG,Russia,Germany,Nuke,13,16,PGL Major Stockholm 2021 Challengers Stage
164,26/10/21,paiN,Virtus.pro,Brazil,CIS,Inferno,14,16,PGL Major Stockholm 2021 Challengers Stage
165,26/10/21,ENCE,GODSENT,Europe,Brazil,Nuke,16,10,PGL Major Stockholm 2021 Challengers Stage
166,26/10/21,Spirit,FaZe,Russia,Europe,Overpass,11,16,PGL Major Stockholm 2021 Challengers Stage
167,26/10/21,Copenhagen Flames,Astralis,Denmark,Denmark,Overpass,16,6,PGL Major Stockholm 2021 Challengers Stage
168,25/10/21,LDLC,Dignitas,France,Sweden,Vertigo,14,16,REPUBLEAGUE TIPOS Season 2
169,25/10/21,Dignitas,LDLC,Sweden,France,Inferno,16,8,REPUBLEAGUE TIPOS Season 2
170,25/10/21,Extra Salt,Party Astronauts,North America,United States,Nuke,16,8,ESEA Autumn 2021 Cash Cup 3 North America
171,25/10/21,Extra Salt,Party Astronauts,North America,United States,Inferno,19,22,ESEA Autumn 2021 Cash Cup 3 North America
172,25/10/21,Party Astronauts,Extra Salt,United States,North America,Overpass,9,16,ESEA Autumn 2021 Cash Cup 3 North America
173,24/10/21,TeamOne,Party Astronauts,Brazil,United States,Inferno,12,16,ESEA Autumn 2021 Cash Cup 3 North America
174,24/10/21,TeamOne,Party Astronauts,Brazil,United States,Nuke,12,16,ESEA Autumn 2021 Cash Cup 3 North America
175,24/10/21,Party Astronauts,TeamOne,United States,Brazil,Mirage,11,16,ESEA Autumn 2021 Cash Cup 3 North America
176,24/10/21,DBL PONEY,LDLC,France,France,Inferno,8,16,ESL National Championship France Autumn 2021
177,24/10/21,DBL PONEY,LDLC,France,France,Nuke,9,16,ESL National Championship France Autumn 2021
178,24/10/21,LDLC,DBL PONEY,France,France,Ancient,5,16,ESL National Championship France Autumn 2021
179,22/10/21,Entropiq,Dignitas,Russia,Sweden,Nuke,19,17,REPUBLEAGUE TIPOS Season 2
180,22/10/21,Dignitas,Entropiq,Sweden,Russia,Ancient,11,16,REPUBLEAGUE TIPOS Season 2
181,21/10/21,LDLC,K23,France,Russia,Mirage,6,16,REPUBLEAGUE TIPOS Season 2
182,21/10/21,K23,LDLC,Russia,France,Nuke,16,4,REPUBLEAGUE TIPOS Season 2
183,21/10/21,forZe,GamerLegion,Russia,Sweden,Mirage,26,28,DreamHack Open November 2021 Closed Qualifier
184,21/10/21,GamerLegion,forZe,Sweden,Russia,Nuke,16,13,DreamHack Open November 2021 Closed Qualifier
185,21/10/21,forZe,GamerLegion,Russia,Sweden,Ancient,16,13,DreamHack Open November 2021 Closed Qualifier
186,21/10/21,1WIN,Lyngby Vikings,Russia,Denmark,Overpass,6,16,Malta Vibes Knockout Series 3
187,21/10/21,1WIN,Lyngby Vikings,Russia,Denmark,Ancient,10,16,Malta Vibes Knockout Series 3
188,21/10/21,Lyngby Vikings,1WIN,Denmark,Russia,Nuke,14,16,Malta Vibes Knockout Series 3
189,21/10/21,Sinners,GamerLegion,Czech Republic,Sweden,Ancient,14,16,DreamHack Open November 2021 Closed Qualifier
190,21/10/21,Sinners,GamerLegion,Czech Republic,Sweden,Vertigo,13,16,DreamHack Open November 2021 Closed Qualifier
191,21/10/21,GamerLegion,Sinners,Sweden,Czech Republic,Inferno,9,16,DreamHack Open November 2021 Closed Qualifier
192,21/10/21,SKADE,forZe,Bulgaria,Russia,Mirage,14,16,DreamHack Open November 2021 Closed Qualifier
193,21/10/21,forZe,SKADE,Russia,Bulgaria,Overpass,16,14,DreamHack Open November 2021 Closed Qualifier
194,20/10/21,FURIA,NIP,Brazil,Sweden,Inferno,13,2,Battle of Betway 2021
195,20/10/21,G2,NIP,Europe,Sweden,Train,13,1,Battle of Betway 2021
196,20/10/21,FURIA,BIG,Brazil,Germany,Tuscan,12,12,Battle of Betway 2021
197,20/10/21,GamerLegion,fnatic,Sweden,United Kingdom,Overpass,5,16,DreamHack Open November 2021 Closed Qualifier
198,20/10/21,GamerLegion,fnatic,Sweden,United Kingdom,Mirage,16,14,DreamHack Open November 2021 Closed Qualifier
199,20/10/21,Entropiq,Sinners,Russia,Czech Republic,Nuke,12,16,DreamHack Open November 2021 Closed Qualifier
200,20/10/21,MAD Lions,SKADE,Europe,Bulgaria,Overpass,16,8,DreamHack Open November 2021 Closed Qualifier
201,20/10/21,SKADE,MAD Lions,Bulgaria,Europe,Dust2,10,16,DreamHack Open November 2021 Closed Qualifier
202,20/10/21,Sinners,Entropiq,Czech Republic,Russia,Overpass,16,11,DreamHack Open November 2021 Closed Qualifier
203,20/10/21,fnatic,GamerLegion,United Kingdom,Sweden,Inferno,16,6,DreamHack Open November 2021 Closed Qualifier
204,20/10/21,BIG,G2,Germany,Europe,Cobblestone,9,13,Battle of Betway 2021
205,20/10/21,NIP,BIG,Sweden,Germany,Cache,12,12,Battle of Betway 2021
206,20/10/21,MOUZ NXT,1WIN,Europe,Russia,Nuke,11,16,Malta Vibes Knockout Series 3
207,20/10/21,1WIN,MOUZ NXT,Russia,Europe,Mirage,16,9,Malta Vibes Knockout Series 3
208,20/10/21,MOUZ NXT,1WIN,Europe,Russia,Vertigo,16,10,Malta Vibes Knockout Series 3
209,20/10/21,FURIA,G2,Brazil,Europe,Cache,13,11,Battle of Betway 2021
210,20/10/21,GamerLegion,forZe,Sweden,Russia,Mirage,16,4,DreamHack Open November 2021 Closed Qualifier
211,20/10/21,GamerLegion,forZe,Sweden,Russia,Overpass,16,13,DreamHack Open November 2021 Closed Qualifier
212,20/10/21,forZe,GamerLegion,Russia,Sweden,Inferno,16,11,DreamHack Open November 2021 Closed Qualifier
213,20/10/21,MAD Lions,Entropiq,Europe,Russia,Overpass,16,12,DreamHack Open November 2021 Closed Qualifier
214,20/10/21,Entropiq,MAD Lions,Russia,Europe,Nuke,8,16,DreamHack Open November 2021 Closed Qualifier
215,20/10/21,SKADE,Sinners,Bulgaria,Czech Republic,Vertigo,16,6,DreamHack Open November 2021 Closed Qualifier
216,20/10/21,Sinners,SKADE,Czech Republic,Bulgaria,Overpass,10,16,DreamHack Open November 2021 Closed Qualifier
217,20/10/21,Lyngby Vikings,AVE,Denmark,Russia,Ancient,16,13,Malta Vibes Knockout Series 3
218,20/10/21,Lyngby Vikings,AVE,Denmark,Russia,Inferno,16,11,Malta Vibes Knockout Series 3
219,19/10/21,AVE,INDE IRAE,Russia,Russia,Nuke,16,11,Malta Vibes Knockout Series 3
220,19/10/21,INDE IRAE,AVE,Russia,Russia,Overpass,10,16,Malta Vibes Knockout Series 3
221,19/10/21,FunPlus Phoenix,ENCE,Europe,Europe,Dust2,16,19,IEM Winter 2021 Europe Closed Qualifier
222,19/10/21,ENCE,FunPlus Phoenix,Europe,Europe,Vertigo,16,12,IEM Winter 2021 Europe Closed Qualifier
223,19/10/21,MOUZ NXT,Young Ninjas,Europe,Sweden,Vertigo,16,2,Malta Vibes Knockout Series 3
224,19/10/21,Young Ninjas,MOUZ NXT,Sweden,Europe,Nuke,7,16,Malta Vibes Knockout Series 3
225,19/10/21,Spirit,FunPlus Phoenix,Russia,Europe,Nuke,9,16,IEM Winter 2021 Europe Closed Qualifier
226,19/10/21,FunPlus Phoenix,Spirit,Europe,Russia,Overpass,7,16,IEM Winter 2021 Europe Closed Qualifier
227,19/10/21,Spirit,FunPlus Phoenix,Russia,Europe,Inferno,2,16,IEM Winter 2021 Europe Closed Qualifier
228,19/10/21,K23,ENCE,Russia,Europe,Nuke,12,16,IEM Winter 2021 Europe Closed Qualifier
229,19/10/21,ENCE,K23,Europe,Russia,Overpass,16,3,IEM Winter 2021 Europe Closed Qualifier
230,19/10/21,1WIN,Galaxy Racer,Russia,Sweden,Overpass,16,14,Malta Vibes Knockout Series 3
231,19/10/21,Galaxy Racer,1WIN,Sweden,Russia,Vertigo,10,16,Malta Vibes Knockout Series 3
232,18/10/21,K23,MOUZ,Russia,Europe,Nuke,8,16,IEM Winter 2021 Europe Closed Qualifier
233,18/10/21,MOUZ,K23,Europe,Russia,Inferno,22,18,IEM Winter 2021 Europe Closed Qualifier
234,18/10/21,9z,Spirit,South America,Russia,Nuke,12,16,IEM Winter 2021 Europe Closed Qualifier
235,18/10/21,Spirit,9z,Russia,South America,Mirage,16,10,IEM Winter 2021 Europe Closed Qualifier
236,18/10/21,FunPlus Phoenix,fnatic,Europe,United Kingdom,Overpass,13,16,IEM Winter 2021 Europe Closed Qualifier
237,18/10/21,fnatic,FunPlus Phoenix,United Kingdom,Europe,Vertigo,16,12,IEM Winter 2021 Europe Closed Qualifier
238,18/10/21,Complexity,ENCE,Europe,Europe,Mirage,5,16,IEM Winter 2021 Europe Closed Qualifier
239,18/10/21,ENCE,Complexity,Europe,Europe,Overpass,16,11,IEM Winter 2021 Europe Closed Qualifier
240,18/10/21,AVE,Finest,Russia,Europe,Inferno,22,20,Malta Vibes Knockout Series 3
241,18/10/21,Finest,AVE,Europe,Russia,Ancient,13,16,Malta Vibes Knockout Series 3
242,18/10/21,AVE,Finest,Russia,Europe,Overpass,14,16,Malta Vibes Knockout Series 3
243,18/10/21,Spirit,K23,Russia,Russia,Mirage,6,16,IEM Winter 2021 Europe Closed Qualifier
244,18/10/21,K23,Spirit,Russia,Russia,Nuke,10,16,IEM Winter 2021 Europe Closed Qualifier
245,18/10/21,Spirit,K23,Russia,Russia,Inferno,23,25,IEM Winter 2021 Europe Closed Qualifier
246,18/10/21,FunPlus Phoenix,ENCE,Europe,Europe,Overpass,16,10,IEM Winter 2021 Europe Closed Qualifier
247,18/10/21,FunPlus Phoenix,ENCE,Europe,Europe,Ancient,16,14,IEM Winter 2021 Europe Closed Qualifier
248,18/10/21,9z,MOUZ,South America,Europe,Vertigo,16,19,IEM Winter 2021 Europe Closed Qualifier
249,18/10/21,fnatic,Complexity,United Kingdom,Europe,Nuke,16,5,IEM Winter 2021 Europe Closed Qualifier
250,18/10/21,MOUZ,9z,Europe,South America,Dust2,16,8,IEM Winter 2021 Europe Closed Qualifier
251,18/10/21,Complexity,fnatic,Europe,United Kingdom,Inferno,6,16,IEM Winter 2021 Europe Closed Qualifier
252,18/10/21,ENCE,FunPlus Phoenix,Europe,Europe,Nuke,16,9,IEM Winter 2021 Europe Closed Qualifier
