Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event
1987,18/6/21,Lyngby Vikings,HYENAS,Denmark,Denmark,Nuke,8,16,Funspark ULTI 2021 Europe Playoffs 1
1988,18/6/21,HYENAS,Lyngby Vikings,Denmark,Denmark,Inferno,22,19,Funspark ULTI 2021 Europe Playoffs 1
1989,18/6/21,Dignitas,Entropiq,Sweden,Russia,Mirage,4,16,Funspark ULTI 2021 Europe Playoffs 1
1990,18/6/21,Entropiq,Dignitas,Russia,Sweden,Nuke,19,15,Funspark ULTI 2021 Europe Playoffs 1
1991,17/6/21,HAVU,Lyngby Vikings,Finland,Denmark,Overpass,19,15,Elisa Invitational Summer 2021
1992,17/6/21,Lyngby Vikings,HAVU,Denmark,Finland,Mirage,13,16,Elisa Invitational Summer 2021
1993,17/6/21,HAVU,Lyngby Vikings,Finland,Denmark,Ancient,10,16,Elisa Invitational Summer 2021
1994,17/6/21,Natus Vincere,BIG,Russia,Germany,Inferno,16,14,BLAST Premier Spring Final 2021
1995,17/6/21,Natus Vincere,BIG,Russia,Germany,Dust2,16,2,BLAST Premier Spring Final 2021
1996,17/6/21,Complexity,Gambit,Europe,Russia,Vertigo,13,16,BLAST Premier Spring Final 2021
1997,17/6/21,Complexity,Gambit,Europe,Russia,Mirage,12,16,BLAST Premier Spring Final 2021
1998,17/6/21,Lyngby Vikings,Anonymo,Denmark,Poland,Vertigo,16,12,Spring Sweet Spring 3 Regionals
1999,17/6/21,K23,Dignitas,Kazakhstan,Sweden,Mirage,16,14,Funspark ULTI 2021 Europe Playoffs 1
2000,17/6/21,Anonymo,Lyngby Vikings,Poland,Denmark,Ancient,14,16,Spring Sweet Spring 3 Regionals
2001,17/6/21,Lyngby Vikings,Anonymo,Denmark,Poland,Nuke,10,16,Spring Sweet Spring 3 Regionals
2002,17/6/21,Dignitas,K23,Sweden,Kazakhstan,Overpass,13,16,Funspark ULTI 2021 Europe Playoffs 1
2003,17/6/21,K23,Dignitas,Kazakhstan,Sweden,Nuke,4,16,Funspark ULTI 2021 Europe Playoffs 1
2004,17/6/21,FaZe,G2,Europe,Europe,Nuke,5,16,BLAST Premier Spring Final 2021
2005,17/6/21,FaZe,G2,Europe,Europe,Inferno,16,12,BLAST Premier Spring Final 2021
2006,17/6/21,G2,FaZe,Europe,Europe,Ancient,16,10,BLAST Premier Spring Final 2021
2007,17/6/21,ENCE,HYENAS,Europe,Denmark,Mirage,16,14,Funspark ULTI 2021 Europe Playoffs 1
2008,17/6/21,HYENAS,ENCE,Denmark,Europe,Vertigo,4,16,Funspark ULTI 2021 Europe Playoffs 1
2009,17/6/21,Party Astronauts,paiN,United States,Brazil,Ancient,5,16,ESEA Premier Season 37 North America
2010,17/6/21,paiN,Party Astronauts,Brazil,United States,Inferno,16,7,ESEA Premier Season 37 North America
2011,16/6/21,Evil Geniuses,NIP,North America,Sweden,Dust2,12,16,BLAST Premier Spring Final 2021
2012,16/6/21,NIP,Evil Geniuses,Sweden,North America,Overpass,16,11,BLAST Premier Spring Final 2021
2013,16/6/21,Sprout,GamerLegion,Germany,Sweden,Vertigo,12,16,ESEA Premier Season 37 Europe
2014,16/6/21,Sprout,GamerLegion,Germany,Sweden,Mirage,10,16,ESEA Premier Season 37 Europe
2015,16/6/21,GamerLegion,Sprout,Sweden,Germany,Ancient,10,16,ESEA Premier Season 37 Europe
2016,16/6/21,AGO,Anonymo,Poland,Poland,Mirage,16,4,ESEA Premier Season 37 Europe
2017,16/6/21,AGO,Anonymo,Poland,Poland,Nuke,9,16,ESEA Premier Season 37 Europe
