Index,Event,Teams_number,Prize,Type
114,ESEA Advanced Season 36 Europe,16+,15000,Online
115,ESEA Advanced Season 36 North America,12+,15000,Online
116,ESEA Spring 2021 Cash Cup 4 North America,6+,15000,Online
117,Funspark ULTI 2021 Asia Regional Series 1,16,15000,Online
118,Funspark ULTI 2021 Europe Regional Series 1,16,30000,Online
119,ESL Pro League Season 13,24,750000,Online
120,Snow Sweet Snow 3,20,68000,Online
121,ESEA Spring 2021 Cash Cup 3 North America,6+,15000,Online
122,Pinnacle Cup 2021,32,100000,Online
123,Atlantic Esportal Invitational 2021,8,11000,Online
124,ESEA Spring 2021 Cash Cup 2 North America,6+,15000,Online
125,Nordic Masters Spring 2021 - BLAST Premier Qualifier,8,25000,Online
126,VENN Invitational Spring 2021 - BLAST Premier Qualifier,8,25000,Online
127,Elisa Nordic Championship 2021 Sweden,8+,12500,Online
128,Snow Sweet Snow 3 Regionals,32,24000,Online
129,Fantasyexpo Spring Cup 2021 - BLAST Premier Qualifier,8,25000,Online
130,LVP Unity Spring Cup 2021 - BLAST Premier Qualifier,8,25000,Online
131,ESEA Spring 2021 Cash Cup 1 North America,6+,15000,Online
132,Winstrike CIS Spring Cup 2021 - BLAST Premier Qualifier,8,25000,Online
133,FiReLEAGUE Latin Power Spring 2021 - BLAST Premier Qualifier,8,25000,Online
134,Elisa Nordic Championship 2021 Norway,8+,12500,Online
135,Calyx Dune Cup Spring 2021 - BLAST Premier Qualifier,8,25000,Online
136,Gjirafa50 Masters League Finals 2021,4,13655,Local LAN
137,Elisa Nordic Championship 2021 Denmark,8+,12500,Online
138,DreamHack Open March 2021 South America,4,30000,Online
139,DreamHack Open March 2021 North America,8,70000,Online
140,Snow Sweet Snow 2,20,68000,Online
141,LEGION UPEA Ukrainian Championship 2020,4+,11790,Online
142,Elisa Nordic Championship 2021 Finland,8+,12500,Online
143,ESEA Winter 2020 Cash Cup 6 North America,6+,15000,Online
144,IEM Katowice 2021,16,972000,Online
145,Snow Sweet Snow 2 Regionals,32,24000,Online
146,European Development Championship 2,16,30000,Online
147,IEM Katowice 2021 Play-In,16,28000,Online
148,ESEA Winter 2020 Cash Cup 5 North America,4,15000,Online
149,BLAST Premier Spring Groups 2021,12,150000,Online
150,Snow Sweet Snow 1,20,68000,Online
151,Shadow League Season 1,16,30000,Online
152,SteelSeries Invitational 2021,4,10000,Online
153,ESEA Winter 2020 Cash Cup 4 North America,4,15000,Online
154,OMEN WGR European Challenge 2021,8,18203,Online
155,DreamHack Open January 2021 North America,4,30000,Online
156,DreamHack Open January 2021 Europe,8,70000,Online
157,cs_summit 7,12,200000,Online
158,Snow Sweet Snow 1 Regionals,32,24000,Online
159,ESEA Winter 2020 Cash Cup 3 North America,4,15000,Online
160,BLAST Premier Global Final 2020,8,1000000,Online
161,ESL Meisterschaft Autumn 2020,6+,41109,Online
162,UNITED Pro Series Winter 2020,8,42750,Online
163,Vulkan Fight Series 2020,20,45000,Online
164,NumberOne Season 1 Finals,8,24542,Online
165,Dell Gaming League 2020,8+,20500,Online
166,OMEN Retake Season 1,4+,10669,Online
167,Gamers Club Masters VI,8,11400,Online
168,DreamHack Showdown Winter 2020 North America,4,20000,Online
169,DreamHack Showdown Winter 2020 Europe,6,30000,Online
170,IEM Global Challenge 2020,8,500000,Online
171,European Development Championship 1,16,30000,Online
172,FLASHE Super Slam 2020,4+,12000,Online
173,MIDNITE Nine to Five 7,20,50000,Online
174,FlowFiReLEAGUE 2020 Global Finals,3,70000,Reg. LAN
175,Asian Legend Challenge League 2020,4+,32000,Online
176,DreamHack Open December 2020,8,100000,Online
177,BLAST Premier Fall 2020 Finals,8,425000,Online
178,FlowFiReLEAGUE 2020 Regional Finals,4,35000,Reg. LAN
179,Fragleague Season 5,2+,17760,Online
180,Rive Winter Rush 2020,4+,15000,Online
181,Polish Esport League Autumn 2020,6+,25850,Online
182,DreamHack Masters Winter 2020 Oceania,4,15000,Online
183,DreamHack Masters Winter 2020 Asia,4,15000,Online
184,DreamHack Masters Winter 2020 North America,8,70000,Online
185,DreamHack Masters Winter 2020 Europe,16,150000,Online
186,Flashpoint 2,12,1000000,Online
187,Telia League Fall 2020,4+,19193,Local LAN
188,Svenska Elitserien Fall 2020,6+,27000,Online
189,DreamHack Open November 2020,8,100000,Online
190,BLAST Premier Fall 2020 Showdown,16,150000,Online
191,A1 Adria League Season 6,4+,13053,Online
192,Merkur Masters Season 2,6,41638,Online
193,Nine to Five 6,20,50000,Online
194,IEM Beijing-Haidian 2020 Oceania,4,15000,Online
195,IEM Beijing-Haidian 2020 Asia,4,15000,Online
196,ESL Polish Championship Autumn 2020,8+,12513,Online
197,IEM Beijing-Haidian 2020 North America,8,70000,Online
198,IEM Beijing-Haidian 2020 Europe,16,150000,Online
199,OGA Counter PIT by AMD and Sapphire Season 8,8,15000,Online
200,ESEA Open Season 35 Asia-Pacific,2+,11000,Online
201,Master League Portugal VI,4+,11746,Online
