Date,Team,Won / Lost,Pistol Win,Round 2 Conversion,Round 2 Break
2021-11-10,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-10,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-10,FURIA,9 - 13,50.0%,88.9%,16.7%
2021-11-10,FunPlus Phoenix,17 - 13,56.7%,70.6%,30.8%
2021-11-10,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-10,Entropiq,27 - 27,50.0%,70.4%,14.8%
2021-11-10,Copenhagen Flames,22 - 22,50.0%,68.2%,27.3%
2021-11-10,ENCE,22 - 26,45.8%,81.8%,23.1%
2021-11-10,MAD Lions,12 - 16,42.9%,83.3%,18.8%
2021-11-10,Vitality,8 - 12,40.0%,87.5%,8.3%
2021-11-10,Liquid,11 - 9,55.0%,63.6%,11.1%
2021-11-10,1WIN,12 - 12,50.0%,75.0%,41.7%
2021-11-10,Astralis,9 - 19,32.1%,88.9%,10.5%
2021-11-10,BIG,17 - 11,57.1%,64.7%,9.1%
2021-11-10,Movistar Riders,11 - 9,55.0%,90.9%,22.2%
2021-11-10,SKADE,13 - 17,43.3%,69.2%,11.8%
2021-11-10,K23,7 - 11,38.9%,57.1%,9.1%
2021-11-10,NIP,14 - 14,50.0%,71.4%,16.7%
2021-11-10,Spirit,15 - 15,50.0%,66.7%,20.0%
2021-11-09,Natus Vincere,11 - 9,55.0%,100.0%,55.6%
2021-11-09,Fiend,9 - 17,34.6%,100.0%,52.9%
2021-11-09,G2,23 - 17,60.0%,73.9%,25.0%
2021-11-09,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-09,Lyngby Vikings,24 - 18,57.1%,83.3%,33.3%
2021-11-09,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-09,FURIA,11 - 17,46.4%,90.9%,25.0%
2021-11-09,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-09,Vitality,12 - 12,50.0%,91.7%,8.3%
2021-11-09,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-09,FunPlus Phoenix,18 - 14,56.2%,72.2%,28.6%
2021-11-09,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-09,Copenhagen Flames,24 - 24,50.0%,66.7%,25.0%
2021-11-09,ENCE,23 - 29,44.2%,73.9%,24.1%
2021-11-09,Liquid,15 - 15,50.0%,66.7%,6.7%
2021-11-09,Entropiq,25 - 27,48.1%,72.0%,14.8%
2021-11-09,MAD Lions,12 - 10,54.5%,83.3%,30.0%
2021-11-09,1WIN,12 - 12,50.0%,75.0%,41.7%
2021-11-09,BIG,17 - 11,57.1%,64.7%,9.1%
2021-11-09,Movistar Riders,15 - 11,57.7%,86.7%,27.3%
2021-11-09,NIP,18 - 18,50.0%,66.7%,25.0%
2021-11-09,Astralis,9 - 23,28.1%,88.9%,8.7%
2021-11-09,paiN,8 - 10,44.4%,100.0%,20.0%
2021-11-09,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-09,K23,8 - 12,40.0%,62.5%,8.3%
2021-11-09,GODSENT,11 - 7,61.1%,72.7%,42.9%
2021-11-09,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-08,Natus Vincere,11 - 9,55.0%,100.0%,55.6%
2021-11-08,G2,26 - 18,61.4%,76.9%,29.4%
2021-11-08,FURIA,14 - 18,50.0%,84.6%,23.5%
2021-11-08,Lyngby Vikings,23 - 15,60.5%,78.3%,33.3%
2021-11-08,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-08,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-08,Fiend,10 - 20,33.3%,90.0%,45.0%
2021-11-08,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-08,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-08,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-08,ENCE,26 - 30,46.4%,76.9%,23.3%
2021-11-08,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-08,Vitality,16 - 14,53.3%,75.0%,14.3%
2021-11-08,Copenhagen Flames,25 - 27,48.1%,68.0%,25.9%
2021-11-08,Liquid,15 - 15,50.0%,66.7%,6.7%
2021-11-08,Movistar Riders,18 - 12,60.0%,83.3%,25.0%
2021-11-08,Entropiq,21 - 25,45.7%,71.4%,16.0%
2021-11-08,MAD Lions,12 - 10,54.5%,83.3%,30.0%
2021-11-08,1WIN,12 - 12,50.0%,75.0%,41.7%
2021-11-08,NIP,20 - 22,47.6%,65.0%,35.0%
2021-11-08,BIG,17 - 11,57.1%,64.7%,9.1%
2021-11-08,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-08,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-08,Astralis,10 - 26,27.8%,90.0%,7.7%
2021-11-08,GODSENT,11 - 7,61.1%,72.7%,42.9%
2021-11-08,paiN,9 - 13,40.9%,100.0%,25.0%
2021-11-08,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-07,Natus Vincere,11 - 9,55.0%,100.0%,55.6%
2021-11-07,G2,28 - 22,58.0%,75.0%,33.3%
2021-11-07,FURIA,14 - 18,50.0%,84.6%,23.5%
2021-11-07,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-07,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-07,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-07,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-07,Fiend,11 - 23,32.4%,90.9%,43.5%
2021-11-07,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-07,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-07,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-07,Vitality,16 - 14,53.3%,75.0%,14.3%
2021-11-07,ENCE,30 - 32,48.4%,73.3%,25.0%
2021-11-07,Liquid,16 - 16,50.0%,62.5%,12.5%
2021-11-07,Copenhagen Flames,25 - 27,48.1%,68.0%,25.9%
2021-11-07,Entropiq,21 - 25,45.7%,71.4%,16.0%
2021-11-07,NIP,20 - 22,47.6%,65.0%,35.0%
2021-11-07,BIG,17 - 11,57.1%,64.7%,9.1%
2021-11-07,Movistar Riders,15 - 9,62.5%,80.0%,22.2%
2021-11-07,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-07,Astralis,13 - 27,32.5%,84.6%,7.4%
2021-11-07,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-07,paiN,9 - 13,40.9%,100.0%,25.0%
2021-11-07,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-06,G2,25 - 21,56.5%,76.0%,35.0%
2021-11-06,FURIA,14 - 18,50.0%,84.6%,23.5%
2021-11-06,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-06,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-06,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-06,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-06,Fiend,11 - 23,32.4%,90.9%,43.5%
2021-11-06,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-06,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-06,Vitality,18 - 16,52.9%,72.2%,18.8%
2021-11-06,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-06,ENCE,30 - 32,48.4%,73.3%,25.0%
2021-11-06,Liquid,16 - 16,50.0%,62.5%,12.5%
2021-11-06,Copenhagen Flames,27 - 29,48.2%,66.7%,27.6%
2021-11-06,Entropiq,21 - 25,45.7%,71.4%,16.0%
2021-11-06,NIP,21 - 27,43.8%,66.7%,32.0%
2021-11-06,BIG,17 - 11,57.1%,64.7%,9.1%
2021-11-06,Movistar Riders,20 - 10,66.7%,80.0%,20.0%
2021-11-06,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-06,Astralis,13 - 27,32.5%,84.6%,7.4%
2021-11-06,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-06,paiN,9 - 13,40.9%,100.0%,25.0%
2021-11-06,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-05,G2,21 - 19,55.0%,71.4%,38.9%
2021-11-05,FaZe,13 - 13,50.0%,92.3%,61.5%
2021-11-05,FURIA,14 - 18,50.0%,84.6%,23.5%
2021-11-05,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-05,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-05,Heroic,24 - 24,50.0%,83.3%,20.8%
2021-11-05,Liquid,18 - 16,52.9%,66.7%,12.5%
2021-11-05,Fiend,11 - 23,32.4%,90.9%,43.5%
2021-11-05,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-05,Vitality,18 - 16,52.9%,72.2%,18.8%
2021-11-05,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-05,ENCE,30 - 32,48.4%,73.3%,25.0%
2021-11-05,Copenhagen Flames,27 - 29,48.2%,66.7%,27.6%
2021-11-05,Entropiq,21 - 25,45.7%,71.4%,16.0%
2021-11-05,NIP,21 - 27,43.8%,66.7%,32.0%
2021-11-05,Movistar Riders,20 - 10,66.7%,80.0%,20.0%
2021-11-05,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-05,Astralis,13 - 27,32.5%,84.6%,7.4%
2021-11-05,BIG,21 - 11,62.5%,57.1%,9.1%
2021-11-05,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-05,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-05,paiN,9 - 15,37.5%,100.0%,21.4%
2021-11-04,G2,21 - 19,55.0%,71.4%,38.9%
2021-11-04,FaZe,19 - 13,59.4%,94.7%,61.5%
2021-11-04,FURIA,16 - 20,50.0%,80.0%,15.8%
2021-11-04,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-04,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-04,Vitality,17 - 13,56.7%,76.5%,23.1%
2021-11-04,Liquid,18 - 16,52.9%,66.7%,12.5%
2021-11-04,Heroic,24 - 28,46.2%,83.3%,28.6%
2021-11-04,OG,9 - 13,40.9%,75.0%,0.0%
2021-11-04,Fiend,11 - 23,32.4%,90.9%,43.5%
2021-11-04,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-04,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-04,ENCE,30 - 32,48.4%,73.3%,25.0%
2021-11-04,Copenhagen Flames,27 - 29,48.2%,66.7%,27.6%
2021-11-04,Entropiq,21 - 25,45.7%,71.4%,16.0%
2021-11-04,NIP,21 - 27,43.8%,66.7%,32.0%
2021-11-04,BIG,25 - 11,66.7%,52.0%,9.1%
2021-11-04,Movistar Riders,20 - 10,66.7%,80.0%,20.0%
2021-11-04,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-04,Astralis,13 - 27,32.5%,84.6%,7.4%
2021-11-04,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-04,GODSENT,15 - 11,57.7%,80.0%,36.4%
2021-11-04,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-04,paiN,10 - 16,38.5%,100.0%,20.0%
2021-11-03,G2,20 - 16,58.3%,70.0%,46.7%
2021-11-03,FaZe,19 - 13,59.4%,94.7%,61.5%
2021-11-03,FURIA,19 - 23,50.0%,83.3%,18.2%
2021-11-03,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-03,MOUZ,20 - 14,58.8%,80.0%,28.6%
2021-11-03,Vitality,17 - 13,56.7%,76.5%,23.1%
2021-11-03,Heroic,21 - 25,45.7%,81.0%,28.0%
2021-11-03,Liquid,18 - 16,52.9%,66.7%,12.5%
2021-11-03,OG,9 - 13,40.9%,75.0%,0.0%
2021-11-03,Fiend,11 - 23,32.4%,90.9%,43.5%
2021-11-03,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-03,Virtus.pro,22 - 20,52.4%,72.7%,10.0%
2021-11-03,ENCE,30 - 32,48.4%,73.3%,25.0%
2021-11-03,NIP,18 - 26,40.9%,61.1%,33.3%
2021-11-03,Copenhagen Flames,27 - 29,48.2%,66.7%,27.6%
2021-11-03,Entropiq,21 - 25,45.7%,71.4%,16.0%
2021-11-03,BIG,25 - 11,66.7%,52.0%,9.1%
2021-11-03,Movistar Riders,20 - 10,66.7%,80.0%,20.0%
2021-11-03,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-03,Astralis,13 - 27,32.5%,84.6%,7.4%
2021-11-03,GODSENT,19 - 19,50.0%,73.7%,31.6%
2021-11-03,paiN,16 - 22,42.1%,87.5%,19.0%
2021-11-03,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-03,SKADE,11 - 13,45.8%,63.6%,15.4%
2021-11-02,G2,22 - 16,60.5%,68.2%,46.7%
2021-11-02,FURIA,21 - 25,50.0%,85.0%,16.7%
2021-11-02,FaZe,20 - 14,58.8%,90.0%,57.1%
2021-11-02,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-02,Vitality,18 - 14,56.2%,77.8%,21.4%
2021-11-02,MOUZ,20 - 16,55.6%,80.0%,31.2%
2021-11-02,Heroic,23 - 25,47.9%,82.6%,28.0%
2021-11-02,Fiend,12 - 24,33.3%,91.7%,45.8%
2021-11-02,Liquid,18 - 16,52.9%,66.7%,12.5%
2021-11-02,FunPlus Phoenix,19 - 15,55.9%,73.7%,33.3%
2021-11-02,OG,9 - 15,37.5%,75.0%,0.0%
2021-11-02,ENCE,30 - 32,48.4%,73.3%,25.0%
2021-11-02,Virtus.pro,23 - 25,47.9%,73.9%,8.0%
2021-11-02,NIP,19 - 27,41.3%,63.2%,32.0%
2021-11-02,MAD Lions,13 - 7,65.0%,92.3%,42.9%
2021-11-02,Copenhagen Flames,28 - 30,48.3%,67.9%,26.7%
2021-11-02,Entropiq,26 - 26,50.0%,76.9%,15.4%
2021-11-02,Movistar Riders,20 - 12,62.5%,80.0%,16.7%
2021-11-02,BIG,26 - 12,65.8%,53.8%,8.3%
2021-11-02,Astralis,14 - 28,33.3%,85.7%,10.7%
2021-11-02,GODSENT,19 - 23,45.2%,73.7%,26.1%
2021-11-02,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-02,paiN,19 - 27,41.3%,89.5%,23.1%
2021-11-02,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-02,SKADE,11 - 15,42.3%,63.6%,13.3%
2021-11-01,Gambit,12 - 10,54.5%,90.9%,20.0%
2021-11-01,G2,23 - 17,60.0%,69.6%,50.0%
2021-11-01,FURIA,21 - 25,50.0%,85.0%,16.7%
2021-11-01,FaZe,19 - 11,63.3%,89.5%,54.5%
2021-11-01,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-11-01,Fiend,14 - 24,36.8%,85.7%,45.8%
2021-11-01,Heroic,23 - 27,46.0%,82.6%,29.6%
2021-11-01,MOUZ,20 - 18,52.6%,80.0%,27.8%
2021-11-01,Liquid,18 - 16,52.9%,66.7%,12.5%
2021-11-01,OG,10 - 16,38.5%,77.8%,0.0%
2021-11-01,1WIN,11 - 11,50.0%,72.7%,63.6%
2021-11-01,Vitality,14 - 14,50.0%,71.4%,14.3%
2021-11-01,ENCE,32 - 32,50.0%,75.0%,25.0%
2021-11-01,NIP,17 - 25,40.5%,58.8%,30.4%
2021-11-01,FunPlus Phoenix,20 - 16,55.6%,70.0%,31.2%
2021-11-01,Virtus.pro,22 - 24,47.8%,81.8%,4.2%
2021-11-01,Copenhagen Flames,28 - 26,51.9%,71.4%,26.9%
2021-11-01,MAD Lions,15 - 9,62.5%,80.0%,44.4%
2021-11-01,Entropiq,25 - 25,50.0%,80.0%,16.7%
2021-11-01,Movistar Riders,21 - 13,61.8%,81.0%,15.4%
2021-11-01,Astralis,15 - 29,34.1%,86.7%,13.8%
2021-11-01,BIG,26 - 12,65.8%,53.8%,8.3%
2021-11-01,GODSENT,19 - 23,45.2%,73.7%,26.1%
2021-11-01,K23,8 - 14,36.4%,62.5%,14.3%
2021-11-01,paiN,19 - 27,41.3%,89.5%,23.1%
2021-11-01,Spirit,12 - 14,46.2%,83.3%,21.4%
2021-11-01,SKADE,11 - 17,39.3%,63.6%,17.6%
2021-10-31,FURIA,20 - 20,55.0%,84.2%,15.8%
2021-10-31,G2,24 - 18,59.5%,66.7%,47.1%
2021-10-31,FaZe,16 - 12,57.1%,87.5%,50.0%
2021-10-31,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-10-31,MOUZ,17 - 15,53.1%,82.4%,33.3%
2021-10-31,Fiend,15 - 25,37.5%,86.7%,44.0%
2021-10-31,Liquid,17 - 13,56.7%,70.6%,15.4%
2021-10-31,NIP,15 - 25,37.5%,60.0%,34.8%
2021-10-31,Heroic,21 - 25,45.7%,85.7%,24.0%
2021-10-31,1WIN,11 - 11,50.0%,72.7%,63.6%
2021-10-31,ENCE,33 - 33,50.0%,75.8%,27.3%
2021-10-31,Vitality,13 - 11,54.2%,69.2%,18.2%
2021-10-31,OG,10 - 18,35.7%,77.8%,0.0%
2021-10-31,Copenhagen Flames,26 - 24,52.0%,76.9%,29.2%
2021-10-31,Virtus.pro,20 - 22,47.6%,80.0%,0.0%
2021-10-31,FunPlus Phoenix,21 - 17,55.3%,71.4%,29.4%
2021-10-31,MAD Lions,16 - 10,61.5%,75.0%,40.0%
2021-10-31,Entropiq,20 - 24,45.5%,80.0%,17.4%
2021-10-31,Movistar Riders,23 - 13,63.9%,78.3%,15.4%
2021-10-31,BIG,27 - 13,65.0%,55.6%,7.7%
2021-10-31,Astralis,13 - 27,32.5%,84.6%,14.8%
2021-10-31,GODSENT,19 - 23,45.2%,73.7%,26.1%
2021-10-31,K23,8 - 14,36.4%,62.5%,14.3%
2021-10-31,paiN,19 - 27,41.3%,89.5%,23.1%
2021-10-31,Spirit,13 - 15,46.4%,76.9%,26.7%
2021-10-31,SKADE,13 - 17,43.3%,61.5%,17.6%
2021-10-30,G2,23 - 17,60.0%,65.2%,37.5%
2021-10-30,FURIA,18 - 20,52.6%,82.4%,15.8%
2021-10-30,Gambit,9 - 11,45.0%,75.0%,18.2%
2021-10-30,NIP,15 - 23,39.5%,66.7%,38.1%
2021-10-30,FaZe,15 - 13,53.6%,86.7%,46.2%
2021-10-30,Liquid,17 - 11,60.7%,70.6%,18.2%
2021-10-30,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-10-30,fnatic,12 - 10,54.5%,91.7%,30.0%
2021-10-30,1WIN,15 - 11,57.7%,80.0%,63.6%
2021-10-30,Fiend,15 - 27,35.7%,86.7%,40.7%
2021-10-30,ENCE,32 - 32,50.0%,75.0%,28.1%
2021-10-30,Heroic,21 - 25,45.7%,76.2%,24.0%
2021-10-30,OG,11 - 19,36.7%,80.0%,0.0%
2021-10-30,MOUZ,17 - 13,56.7%,82.4%,38.5%
2021-10-30,Vitality,13 - 11,54.2%,69.2%,18.2%
2021-10-30,Virtus.pro,22 - 20,52.4%,81.8%,0.0%
2021-10-30,FunPlus Phoenix,21 - 19,52.5%,71.4%,26.3%
2021-10-30,Entropiq,19 - 25,43.2%,89.5%,16.7%
2021-10-30,Copenhagen Flames,25 - 23,52.1%,76.0%,30.4%
2021-10-30,MAD Lions,17 - 11,60.7%,70.6%,36.4%
2021-10-30,Movistar Riders,25 - 13,65.8%,80.0%,15.4%
2021-10-30,Astralis,13 - 27,32.5%,84.6%,14.8%
2021-10-30,Dignitas,15 - 5,75.0%,73.3%,20.0%
2021-10-30,GODSENT,19 - 23,45.2%,73.7%,26.1%
2021-10-30,BIG,28 - 14,64.3%,57.1%,7.1%
2021-10-30,SKADE,15 - 17,46.9%,66.7%,17.6%
2021-10-30,paiN,19 - 27,41.3%,89.5%,23.1%
2021-10-30,Spirit,15 - 15,50.0%,80.0%,26.7%
2021-10-30,K23,9 - 19,32.1%,66.7%,15.8%
2021-10-30,Complexity,6 - 14,30.0%,50.0%,30.8%
2021-10-29,FURIA,17 - 17,55.9%,81.2%,18.8%
2021-10-29,G2,19 - 17,55.6%,73.7%,37.5%
2021-10-29,FaZe,16 - 12,57.1%,87.5%,41.7%
2021-10-29,NIP,15 - 21,41.7%,60.0%,36.8%
2021-10-29,Vitality,15 - 7,68.2%,66.7%,28.6%
2021-10-29,Liquid,13 - 11,54.2%,69.2%,18.2%
2021-10-29,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-10-29,1WIN,15 - 11,57.7%,80.0%,63.6%
2021-10-29,ENCE,32 - 30,51.6%,75.0%,30.0%
2021-10-29,MOUZ,14 - 14,50.0%,85.7%,42.9%
2021-10-29,fnatic,13 - 11,54.2%,92.3%,27.3%
2021-10-29,Heroic,20 - 24,45.5%,75.0%,25.0%
2021-10-29,Fiend,15 - 29,34.1%,86.7%,41.4%
2021-10-29,Virtus.pro,22 - 18,55.0%,81.8%,0.0%
2021-10-29,OG,11 - 19,36.7%,80.0%,0.0%
2021-10-29,FunPlus Phoenix,23 - 19,54.8%,65.2%,26.3%
2021-10-29,Copenhagen Flames,25 - 23,52.1%,76.0%,30.4%
2021-10-29,Astralis,14 - 24,36.8%,78.6%,16.7%
2021-10-29,Entropiq,17 - 23,42.5%,88.2%,18.2%
2021-10-29,Dignitas,16 - 6,72.7%,68.8%,16.7%
2021-10-29,Movistar Riders,25 - 15,62.5%,80.0%,13.3%
2021-10-29,MAD Lions,17 - 13,56.7%,70.6%,38.5%
2021-10-29,GODSENT,19 - 23,45.2%,73.7%,26.1%
2021-10-29,BIG,29 - 15,63.6%,55.2%,6.7%
2021-10-29,SKADE,16 - 18,47.1%,62.5%,16.7%
2021-10-29,paiN,19 - 27,41.3%,89.5%,23.1%
2021-10-29,Spirit,15 - 15,50.0%,80.0%,26.7%
2021-10-29,K23,10 - 22,31.2%,60.0%,13.6%
2021-10-29,Endpoint,10 - 10,50.0%,50.0%,30.0%
2021-10-29,Complexity,7 - 15,31.8%,57.1%,28.6%
2021-10-28,FURIA,17 - 17,55.9%,81.2%,18.8%
2021-10-28,G2,19 - 17,55.6%,73.7%,37.5%
2021-10-28,FaZe,16 - 12,57.1%,87.5%,41.7%
2021-10-28,NIP,15 - 21,41.7%,60.0%,36.8%
2021-10-28,Vitality,15 - 7,68.2%,66.7%,28.6%
2021-10-28,Liquid,13 - 11,54.2%,69.2%,18.2%
2021-10-28,Lyngby Vikings,20 - 14,58.8%,75.0%,28.6%
2021-10-28,1WIN,15 - 11,57.7%,80.0%,63.6%
2021-10-28,ENCE,32 - 30,51.6%,75.0%,30.0%
2021-10-28,MOUZ,11 - 11,50.0%,81.8%,36.4%
2021-10-28,fnatic,13 - 11,54.2%,92.3%,27.3%
2021-10-28,Fiend,15 - 29,34.1%,86.7%,41.4%
2021-10-28,Virtus.pro,22 - 18,55.0%,81.8%,0.0%
2021-10-28,Heroic,18 - 22,45.0%,77.8%,27.3%
2021-10-28,OG,11 - 19,36.7%,80.0%,0.0%
2021-10-28,FunPlus Phoenix,23 - 19,54.8%,65.2%,26.3%
2021-10-28,Copenhagen Flames,25 - 29,46.3%,76.0%,34.5%
2021-10-28,Entropiq,17 - 23,42.5%,88.2%,18.2%
2021-10-28,Movistar Riders,23 - 13,63.9%,78.3%,7.7%
2021-10-28,Astralis,14 - 20,41.2%,78.6%,15.0%
2021-10-28,Dignitas,16 - 6,72.7%,68.8%,16.7%
2021-10-28,MAD Lions,17 - 13,56.7%,70.6%,38.5%
2021-10-28,GODSENT,19 - 23,45.2%,73.7%,26.1%
2021-10-28,BIG,26 - 12,65.8%,57.7%,8.3%
2021-10-28,SKADE,16 - 18,47.1%,62.5%,16.7%
2021-10-28,Spirit,11 - 15,42.3%,81.8%,26.7%
