Date,Team,Won / Lost,Pistol Win,Round 2 Conversion,Round 2 Break
2021-11-12,Natus Vincere,11 - 9,55.0%,100.0%,55.6%
2021-11-12,Fiend,8 - 10,44.4%,100.0%,60.0%
2021-11-12,fnatic,9 - 11,45.0%,88.9%,54.5%
2021-11-12,G2,21 - 13,64.7%,76.2%,25.0%
2021-11-12,forZe,11 - 7,61.1%,70.0%,14.3%
2021-11-12,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-12,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-12,MOUZ,28 - 16,63.6%,82.1%,25.0%
2021-11-12,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-12,Lyngby Vikings,18 - 14,56.2%,77.8%,28.6%
2021-11-12,FURIA,9 - 13,50.0%,88.9%,16.7%
2021-11-12,FunPlus Phoenix,17 - 13,56.7%,70.6%,30.8%
2021-11-12,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-12,Copenhagen Flames,25 - 25,50.0%,72.0%,32.0%
2021-11-12,Entropiq,27 - 27,50.0%,70.4%,14.8%
2021-11-12,BIG,19 - 13,56.2%,63.2%,15.4%
2021-11-12,Vitality,8 - 12,40.0%,87.5%,8.3%
2021-11-12,ENCE,27 - 31,46.6%,77.8%,19.4%
2021-11-12,MAD Lions,16 - 20,44.4%,81.2%,25.0%
2021-11-12,SKADE,5 - 13,27.8%,80.0%,15.4%
2021-11-12,Liquid,11 - 9,55.0%,63.6%,11.1%
2021-11-12,Astralis,9 - 19,32.1%,88.9%,10.5%
2021-11-12,Movistar Riders,11 - 9,55.0%,90.9%,22.2%
2021-11-12,1WIN,8 - 12,40.0%,75.0%,41.7%
2021-11-12,NIP,14 - 14,50.0%,71.4%,16.7%
2021-11-12,Spirit,17 - 17,50.0%,70.6%,18.8%
2021-11-11,Natus Vincere,11 - 9,55.0%,100.0%,55.6%
2021-11-11,fnatic,9 - 11,45.0%,88.9%,54.5%
2021-11-11,G2,21 - 13,64.7%,76.2%,25.0%
2021-11-11,Fiend,11 - 17,39.3%,100.0%,47.1%
2021-11-11,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-11,MOUZ,26 - 14,65.0%,84.6%,28.6%
2021-11-11,Lyngby Vikings,20 - 18,52.6%,80.0%,33.3%
2021-11-11,Heroic,24 - 26,48.0%,83.3%,19.2%
2021-11-11,Gambit,10 - 12,45.5%,70.0%,16.7%
2021-11-11,FURIA,9 - 13,50.0%,88.9%,16.7%
2021-11-11,FunPlus Phoenix,17 - 13,56.7%,70.6%,30.8%
2021-11-11,Virtus.pro,25 - 23,52.1%,72.0%,8.7%
2021-11-11,Entropiq,27 - 27,50.0%,70.4%,14.8%
2021-11-11,Copenhagen Flames,22 - 22,50.0%,68.2%,27.3%
2021-11-11,BIG,19 - 13,56.2%,63.2%,15.4%
2021-11-11,Vitality,8 - 12,40.0%,87.5%,8.3%
2021-11-11,ENCE,25 - 27,48.1%,80.0%,22.2%
2021-11-11,Liquid,11 - 9,55.0%,63.6%,11.1%
2021-11-11,1WIN,12 - 12,50.0%,75.0%,41.7%
2021-11-11,MAD Lions,14 - 18,43.8%,78.6%,22.2%
2021-11-11,Astralis,9 - 19,32.1%,88.9%,10.5%
2021-11-11,Movistar Riders,11 - 9,55.0%,90.9%,22.2%
2021-11-11,SKADE,13 - 17,43.3%,69.2%,11.8%
2021-11-11,K23,7 - 11,38.9%,57.1%,9.1%
2021-11-11,NIP,14 - 14,50.0%,71.4%,16.7%
2021-11-11,Spirit,17 - 17,50.0%,70.6%,18.8%
2021-11-10,Natus Vincere,11 - 9,55.0%,100.0%,55.6%
2021-11-10,G2,21 - 13,64.7%,76.2%,25.0%
2021-11-10,Fiend,11 - 17,39.3%,100.0%,47.1%
2021-11-10,FaZe,13 - 9,59.1%,92.3%,55.6%
2021-11-10,Lyngby Vikings,24 - 18,57.1%,83.3%,33.3%
2021-11-10,MOUZ,26 - 14,65.0%,84.6%,28.6%
