Index,Date,Team1,Team2,Map,winner,Team1_region,Team2_region,Event_priority
87,2021-10-31,Natus Vincere,NIP,Overpass,1,CIS,EU,1
88,2021-10-31,NIP,Natus Vincere,Nuke,2,EU,CIS,1
89,2021-10-31,Vitality,Evil Geniuses,Dust2,1,EU,N_A,1
90,2021-10-31,Evil Geniuses,Vitality,Vertigo,2,N_A,EU,1
91,2021-10-31,Vitality,Evil Geniuses,Inferno,2,EU,N_A,1
92,2021-10-31,G2,Entropiq,Dust2,1,EU,CIS,1
93,2021-10-31,G2,Entropiq,Mirage,1,EU,CIS,1
94,2021-10-31,Heroic,Astralis,Ancient,1,EU,EU,1
95,2021-10-31,FURIA,Liquid,Inferno,1,SA,N_A,1
96,2021-10-31,FaZe,Copenhagen Flames,Ancient,2,EU,EU,1
97,2021-10-31,Virtus.pro,Gambit,Vertigo,2,CIS,CIS,1
98,2021-10-30,NIP,Astralis,Inferno,1,EU,EU,1
99,2021-10-30,MOUZ,FURIA,Inferno,2,EU,SA,1
100,2021-10-30,Natus Vincere,Virtus.pro,Overpass,1,CIS,CIS,1
101,2021-10-30,Vitality,Heroic,Overpass,2,EU,EU,1
102,2021-10-30,Gambit,Entropiq,Vertigo,2,CIS,CIS,1
103,2021-10-30,ENCE,Liquid,Dust2,2,EU,N_A,1
104,2021-10-30,FaZe,G2,Mirage,2,EU,EU,1
105,2021-10-30,Copenhagen Flames,Evil Geniuses,Nuke,1,EU,N_A,1
106,2021-10-30,Astralis,FURIA,Inferno,1,EU,SA,1
107,2021-10-30,NIP,MOUZ,Inferno,1,EU,EU,1
108,2021-10-30,Natus Vincere,Heroic,Ancient,1,CIS,EU,1
109,2021-10-30,Virtus.pro,Vitality,Inferno,1,CIS,EU,1
110,2021-10-30,Liquid,Entropiq,Vertigo,2,N_A,CIS,1
111,2021-10-30,ENCE,Gambit,Overpass,2,EU,CIS,1
112,2021-10-30,G2,Copenhagen Flames,Ancient,1,EU,EU,1
