Date,Team,Map Count,K/D Diff.,K/D,Rating
2021-11-12,Natus Vincere,10,+245,1.34,1.23
2021-11-12,fnatic,10,+155,1.20,1.17
2021-11-12,G2,17,+198,1.14,1.13
2021-11-12,Lyngby Vikings,16,+60,1.04,1.08
2021-11-12,Heroic,25,+141,1.07,1.07
2021-11-12,FaZe,11,+48,1.05,1.06
2021-11-12,FunPlus Phoenix,15,+42,1.03,1.06
2021-11-12,Gambit,11,+37,1.04,1.06
2021-11-12,FURIA,11,+19,1.02,1.05
2021-11-12,Virtus.pro,24,+58,1.03,1.05
2021-11-12,Copenhagen Flames,25,+4,1.00,1.04
2021-11-12,Entropiq,27,+6,1.00,1.04
2021-11-12,MOUZ,22,+38,1.02,1.04
2021-11-12,MAD Lions,18,-47,0.97,1.01
2021-11-12,Vitality,10,-31,0.97,1.01
2021-11-12,Liquid,10,-34,0.96,1.01
2021-11-12,ENCE,29,-79,0.97,1.01
2021-11-12,BIG,16,-48,0.96,1.01
2021-11-12,Astralis,14,-66,0.94,1.00
2021-11-12,Movistar Riders,10,-55,0.94,0.97
2021-11-12,1WIN,10,-68,0.92,0.97
2021-11-12,NIP,14,-154,0.87,0.93
2021-11-12,Spirit,17,-292,0.82,0.89
2021-11-11,Natus Vincere,10,+245,1.34,1.23
2021-11-11,fnatic,10,+155,1.20,1.17
2021-11-11,G2,17,+198,1.14,1.13
2021-11-11,Fiend,14,+132,1.12,1.12
2021-11-11,Lyngby Vikings,19,+114,1.07,1.10
2021-11-11,Heroic,25,+141,1.07,1.07
2021-11-11,FaZe,11,+48,1.05,1.06
2021-11-11,FunPlus Phoenix,15,+42,1.03,1.06
2021-11-11,Gambit,11,+37,1.04,1.06
2021-11-11,FURIA,11,+19,1.02,1.05
2021-11-11,MOUZ,20,+65,1.04,1.05
2021-11-11,Virtus.pro,24,+58,1.03,1.05
2021-11-11,Entropiq,27,+6,1.00,1.04
2021-11-11,Copenhagen Flames,22,-14,0.99,1.03
2021-11-11,Vitality,10,-31,0.97,1.01
2021-11-11,Liquid,10,-34,0.96,1.01
2021-11-11,BIG,16,-48,0.96,1.01
2021-11-11,ENCE,26,-72,0.97,1.01
2021-11-11,Astralis,14,-66,0.94,1.00
2021-11-11,MAD Lions,16,-74,0.95,1.00
2021-11-11,1WIN,12,-46,0.96,1.00
2021-11-11,SKADE,15,-123,0.91,0.98
2021-11-11,Movistar Riders,10,-55,0.94,0.97
2021-11-11,NIP,14,-154,0.87,0.93
2021-11-11,Spirit,17,-292,0.82,0.89
2021-11-10,Natus Vincere,10,+245,1.34,1.23
2021-11-10,G2,17,+198,1.14,1.13
2021-11-10,Fiend,14,+132,1.12,1.12
2021-11-10,Lyngby Vikings,21,+159,1.09,1.12
2021-11-10,Heroic,25,+141,1.07,1.07
2021-11-10,FaZe,11,+48,1.05,1.06
2021-11-10,FunPlus Phoenix,15,+42,1.03,1.06
2021-11-10,Gambit,11,+37,1.04,1.06
2021-11-10,FURIA,11,+19,1.02,1.05
2021-11-10,MOUZ,20,+65,1.04,1.05
2021-11-10,Virtus.pro,24,+58,1.03,1.05
2021-11-10,Entropiq,27,+6,1.00,1.04
2021-11-10,Copenhagen Flames,22,-14,0.99,1.03
2021-11-10,MAD Lions,14,-24,0.98,1.02
2021-11-10,ENCE,24,-26,0.99,1.02
2021-11-10,Vitality,10,-31,0.97,1.01
2021-11-10,Liquid,10,-34,0.96,1.01
2021-11-10,Astralis,14,-66,0.94,1.00
2021-11-10,1WIN,12,-46,0.96,1.00
2021-11-10,SKADE,15,-123,0.91,0.98
2021-11-10,BIG,14,-98,0.92,0.97
2021-11-10,Movistar Riders,10,-55,0.94,0.97
2021-11-10,NIP,14,-154,0.87,0.93
2021-11-10,Spirit,15,-210,0.85,0.92
2021-11-09,Natus Vincere,10,+245,1.34,1.23
2021-11-09,Fiend,13,+139,1.12,1.12
2021-11-09,G2,20,+211,1.13,1.12
