Index,Date,Map,Result
939,10/12/16,Nuke,L
940,10/12/16,Cobblestone,W
941,10/12/16,Train,L
942,10/12/16,Cache,L
943,10/12/16,Cobblestone,L
944,09/12/16,Train,W
945,09/12/16,Cache,W
946,09/12/16,Cobblestone,W
947,09/12/16,Dust2,W
948,09/12/16,Cobblestone,W
949,09/12/16,Mirage,W
950,09/12/16,Dust2,W
951,09/12/16,Overpass,L
952,04/12/16,Dust2,W
953,04/12/16,Mirage,W
954,04/12/16,Mirage,W
955,04/12/16,Cache,W
956,03/12/16,Cache,W
957,03/12/16,Cobblestone,W
958,17/11/16,Mirage,L
959,17/11/16,Mirage,L
960,16/11/16,Overpass,L
961,16/11/16,Overpass,L
962,16/11/16,Mirage,L
963,13/11/16,Overpass,W
964,13/11/16,Mirage,L
965,13/11/16,Dust2,W
966,13/11/16,Dust2,L
967,12/11/16,Mirage,W
968,30/10/16,Mirage,W
969,30/10/16,Train,W
970,30/10/16,Cobblestone,W
971,30/10/16,Cache,W
972,30/10/16,Train,L
973,30/10/16,Overpass,W
974,30/10/16,Dust2,W
975,29/10/16,Nuke,L
976,29/10/16,Overpass,L
977,28/10/16,Dust2,W
978,28/10/16,Mirage,W
979,18/10/16,Cobblestone,W
980,17/10/16,Dust2,W
981,17/10/16,Overpass,W
982,15/10/16,Mirage,L
983,15/10/16,Cache,W
984,14/10/16,Train,L
985,14/10/16,Overpass,W
986,13/10/16,Cobblestone,W
987,13/10/16,Cache,W
988,09/10/16,Train,L
989,09/10/16,Cache,W
990,09/10/16,Mirage,L
991,08/10/16,Overpass,W
992,08/10/16,Cobblestone,L
993,08/10/16,Train,W
994,08/10/16,Cache,W
995,08/10/16,Mirage,W
996,08/10/16,Cobblestone,W
997,07/10/16,Mirage,W
998,07/10/16,Mirage,W
999,07/10/16,Train,W
1000,03/10/16,Overpass,W
1001,03/10/16,Train,W
1002,03/10/16,Mirage,W
1003,03/10/16,Cache,W
1004,03/10/16,Dust2,W
1005,03/10/16,Cache,W
1006,02/10/16,Cache,W
1007,02/10/16,Train,W
1008,02/10/16,Dust2,W
1009,02/10/16,Mirage,W
1010,02/10/16,Mirage,W
1011,02/10/16,Cache,L
1012,02/10/16,Dust2,W
1013,02/10/16,Mirage,W
1014,27/09/16,Cache,W
1015,25/09/16,Cobblestone,W
1016,25/09/16,Mirage,L
1017,25/09/16,Cache,W
1018,24/09/16,Overpass,W
1019,24/09/16,Mirage,W
1020,24/09/16,Dust2,W
1021,24/09/16,Mirage,W
1022,09/09/16,Mirage,L
1023,09/09/16,Overpass,W
1024,09/09/16,Train,L
1025,07/09/16,Cobblestone,L
1026,07/09/16,Mirage,W
1027,21/08/16,Dust2,W
1028,21/08/16,Mirage,W
1029,20/08/16,Cache,W
1030,20/08/16,Mirage,W
1031,15/08/16,Overpass,W
1032,15/08/16,Mirage,W
1033,31/07/16,Cache,W
1034,31/07/16,Dust2,L
1035,07/08/16,Train,W
1036,07/08/16,Dust2,W
1037,07/08/16,Mirage,L
1038,06/08/16,Train,W
1039,06/08/16,Cache,W
1040,24/07/16,Dust2,W
1041,24/07/16,Cache,W
1042,22/07/16,Train,L
1043,22/07/16,Mirage,L
1044,22/07/16,Cobblestone,W
1045,22/07/16,Mirage,T
1046,22/07/16,Mirage,L
1047,09/07/16,Train,W
1048,09/07/16,Cache,W
1049,09/07/16,Dust2,W
1050,08/07/16,Train,W
1051,08/07/16,Cache,L
1052,08/07/16,Dust2,W
1053,08/07/16,Cobblestone,W
1054,03/07/16,Cobblestone,W
1055,03/07/16,Cache,W
1056,01/07/16,Train,W
1057,01/07/16,Cobblestone,W
1058,28/06/16,Mirage,W
1059,28/06/16,Cache,W
1060,25/06/16,Overpass,W
1061,25/06/16,Cache,W
1062,23/06/16,Cache,W
1063,23/06/16,Overpass,W
1064,15/06/16,Mirage,W
1065,15/06/16,Cache,W
1066,12/06/16,Cobblestone,L
1067,12/06/16,Mirage,W
1068,11/06/16,Cache,L
1069,10/06/16,Cache,W
1070,09/06/16,Cache,L
1071,28/05/16,Dust2,W
1072,28/05/16,Mirage,W
1073,28/05/16,Cache,L
1074,27/05/16,Cache,W
1075,27/05/16,Mirage,W
1076,25/05/16,Cobblestone,W
1077,25/05/16,Cache,W
1078,21/05/16,Overpass,W
1079,21/05/16,Cache,W
1080,18/05/16,Cache,W
1081,18/05/16,Dust2,W
1082,18/05/16,Mirage,W
1083,08/05/16,Cache,W
1084,08/05/16,Mirage,W
1085,08/05/16,Cobblestone,L
1086,07/05/16,Overpass,W
1087,07/05/16,Cobblestone,W
1088,06/05/16,Cache,L
1089,06/05/16,Mirage,W
1090,06/05/16,Cobblestone,L
1091,06/05/16,Cache,W
1092,06/05/16,Dust2,L
1093,06/05/16,Overpass,W
1094,05/05/16,Overpass,W
1095,05/05/16,Mirage,W
1096,05/05/16,Mirage,W
1097,27/04/16,Dust2,W
1098,27/04/16,Inferno,W
1099,27/04/16,Mirage,W
1100,26/04/16,Inferno,W
1101,26/04/16,Dust2,W
1102,25/04/16,Cache,W
1103,25/04/16,Inferno,L
1104,25/04/16,Dust2,W
1105,24/04/16,Inferno,W
1106,24/04/16,Cobblestone,W
1107,24/04/16,Mirage,W
1108,24/04/16,Cache,W
1109,24/04/16,Inferno,W
1110,23/04/16,Overpass,W
1111,21/04/16,Cache,W
1112,21/04/16,Mirage,W
1113,16/04/16,Mirage,L
1114,16/04/16,Inferno,L
1115,14/04/16,Inferno,W
1116,14/04/16,Overpass,L
1117,14/04/16,Cache,W
1118,13/04/16,Cobblestone,W
1119,12/04/16,Mirage,L
1120,10/04/16,Inferno,W
1121,10/04/16,Mirage,W
1122,10/04/16,Cache,L
1123,10/04/16,Inferno,L
1124,10/04/16,Mirage,W
1125,09/04/16,Inferno,W
1126,09/04/16,Cache,W
1127,09/04/16,Cache,W
1128,09/04/16,Inferno,W
1129,09/04/16,Cobblestone,W
1130,09/04/16,Cache,W
1131,07/04/16,Cache,W
1132,07/04/16,Mirage,W
1133,06/04/16,Mirage,W
1134,06/04/16,Cache,W
1135,03/04/16,Mirage,W
1136,03/04/16,Inferno,W
1137,01/04/16,Inferno,W
1138,30/03/16,Mirage,W
1139,30/03/16,Cache,W
1140,24/03/16,Mirage,W
1141,24/03/16,Cobblestone,W
1142,15/03/16,Mirage,W
1143,15/03/16,Cobblestone,W
1144,13/03/16,Inferno,W
1145,13/03/16,Dust2,W
1146,13/03/16,Mirage,W
1147,13/03/16,Dust2,W
1148,13/03/16,Cache,W
1149,13/03/16,Overpass,W
1150,13/03/16,Mirage,W
1151,13/03/16,Cobblestone,W
1152,10/01/16,Inferno,W
1153,10/01/16,Mirage,W
1154,09/01/16,Cobblestone,W
1155,09/01/16,Cache,W
1156,09/01/16,Cobblestone,W
1157,09/01/16,Mirage,W
1158,09/01/16,Dust2,L
1159,20/12/15,Overpass,L
1160,20/12/15,Mirage,W
1161,20/12/15,Inferno,L
1162,20/12/15,Cache,L
1163,19/12/15,Cobblestone,W
1164,19/12/15,Cache,W
1165,18/12/15,Mirage,W
1166,18/12/15,Cache,W
1167,17/12/15,Dust2,W
1168,17/12/15,Cache,L
1169,17/12/15,Inferno,W
1170,13/12/15,Cobblestone,W
1171,13/12/15,Dust2,W
1172,13/12/15,Inferno,W
1173,13/12/15,Cache,W
1174,06/12/15,Cache,W
1175,06/12/15,Mirage,W
1176,04/12/15,Mirage,W
1177,04/12/15,Cache,W
1178,04/12/15,Train,W
1179,04/12/15,Inferno,W
1180,03/12/15,Cache,W
1181,03/12/15,Mirage,W
1182,03/12/15,Inferno,W
1183,03/12/15,Cache,W
1184,02/12/15,Inferno,W
1185,02/12/15,Overpass,W
1186,29/11/15,Cache,W
1187,29/11/15,Mirage,W
1188,28/11/15,Cache,W
1189,28/11/15,Inferno,W
1190,27/11/15,Overpass,W
1191,27/11/15,Mirage,W
1192,26/11/15,Inferno,W
1193,26/11/15,Mirage,W
1194,21/11/15,Inferno,W
1195,21/11/15,Cache,W
1196,16/11/15,Cache,W
1197,16/11/15,Train,W
1198,07/11/15,Mirage,W
1199,07/11/15,Cache,W
1200,17/10/15,Cache,W
1201,17/10/15,Overpass,W
1202,04/10/15,Inferno,L
1203,04/10/15,Cache,L
1204,03/10/15,Overpass,W
1205,03/10/15,Cobblestone,W
1206,12/09/15,Inferno,W
1207,12/09/15,Mirage,W
1208,06/09/15,Mirage,L
1209,06/09/15,Inferno,L
1210,06/09/15,Cache,W
1211,06/09/15,Mirage,W
1212,06/09/15,Dust2,L
1213,05/09/15,Overpass,W
1214,19/04/15,Cache,L
1215,19/04/15,Dust2,L
1216,19/04/15,Inferno,W
1217,17/04/15,Mirage,W
1218,04/10/14,Nuke,L
1219,04/10/14,Train,L
1220,04/10/14,Inferno,W
1221,03/10/14,Nuke,W
1222,03/10/14,Mirage,W
1223,03/10/14,Nuke,L
1224,03/10/14,Cache,W
1225,03/10/14,Inferno,L
1226,23/11/13,Train,L
1227,23/11/13,Train,L
1228,23/11/13,Dust2,W
