Index,Date,Map,Result
213,10/05/20,Overpass,L
214,10/05/20,Inferno,L
215,10/05/20,Dust2,W
216,09/05/20,Train,W
217,09/05/20,Vertigo,W
218,09/05/20,Inferno,L
219,08/05/20,Mirage,L
220,08/05/20,Train,L
221,07/05/20,Mirage,W
222,07/05/20,Dust2,W
223,06/05/20,Mirage,W
224,06/05/20,Dust2,W
225,03/04/20,Vertigo,L
226,03/04/20,Inferno,L
227,01/04/20,Train,L
228,01/04/20,Mirage,L
229,28/03/20,Vertigo,L
230,28/03/20,Dust2,W
231,28/03/20,Inferno,L
232,27/03/20,Dust2,L
233,27/03/20,Inferno,L
234,26/03/20,Mirage,L
235,26/03/20,Inferno,L
236,08/03/20,Dust2,W
237,08/03/20,Mirage,W
238,07/03/20,Train,L
239,07/03/20,Mirage,W
240,07/03/20,Vertigo,L
241,07/03/20,Overpass,W
242,07/03/20,Vertigo,W
243,07/03/20,Train,W
244,07/03/20,Dust2,W
245,26/02/20,Vertigo,L
246,26/02/20,Inferno,L
247,24/02/20,Dust2,L
248,24/02/20,Inferno,L
249,09/01/20,Overpass,L
250,09/01/20,Mirage,L
251,09/01/20,Mirage,W
252,09/01/20,Inferno,W
253,08/01/20,Mirage,W
254,08/01/20,Train,W
255,08/01/20,Mirage,W
256,08/01/20,Train,W
257,07/01/20,Train,L
258,07/01/20,Mirage,W
259,07/01/20,Inferno,L
260,07/01/20,Overpass,W
261,07/01/20,Inferno,L
262,07/01/20,Mirage,W
263,20/12/19,Mirage,L
264,20/12/19,Inferno,L
265,19/12/19,Mirage,L
266,15/12/19,Dust2,L
267,15/12/19,Overpass,L
268,15/12/19,Train,W
269,15/12/19,Inferno,W
270,14/12/19,Inferno,L
271,14/12/19,Overpass,W
272,14/12/19,Dust2,L
273,13/12/19,Inferno,L
274,13/12/19,Mirage,L
275,13/12/19,Vertigo,W
276,13/12/19,Overpass,W
277,13/12/19,Inferno,W
278,12/12/19,Dust2,W
279,12/12/19,Inferno,W
280,12/12/19,Mirage,L
281,12/12/19,Dust2,L
282,11/12/19,Dust2,W
283,11/12/19,Mirage,W
284,11/12/19,Inferno,W
285,11/12/19,Inferno,W
286,11/12/19,Mirage,W
287,03/12/19,Mirage,L
288,03/12/19,Dust2,L
289,03/12/19,Inferno,W
290,03/12/19,Dust2,L
291,28/11/19,Train,W
292,28/11/19,Inferno,W
293,28/11/19,Inferno,W
294,28/11/19,Mirage,W
295,28/11/19,Inferno,W
296,28/11/19,Dust2,W
297,28/11/19,Train,L
298,26/11/19,Dust2,W
299,26/11/19,Mirage,W
300,26/11/19,Mirage,W
301,26/11/19,Dust2,W
302,26/11/19,Mirage,W
303,26/11/19,Dust2,W
304,24/11/19,Dust2,L
305,24/11/19,Inferno,L
306,24/11/19,Overpass,W
307,21/11/19,Train,W
308,21/11/19,Mirage,W
309,20/11/19,Dust2,W
310,20/11/19,Vertigo,W
311,17/11/19,Train,W
312,17/11/19,Mirage,W
313,17/11/19,Train,W
314,17/11/19,Dust2,L
315,17/11/19,Inferno,W
316,16/11/19,Train,W
317,16/11/19,Inferno,W
318,15/11/19,Dust2,W
319,15/11/19,Inferno,W
320,14/11/19,Dust2,W
321,14/11/19,Train,W
322,14/11/19,Train,W
323,14/11/19,Dust2,W
324,13/11/19,Mirage,W
325,13/11/19,Inferno,W
326,13/11/19,Inferno,L
327,13/11/19,Overpass,L
328,13/11/19,Train,W
329,13/11/19,Overpass,W
330,12/11/19,Inferno,W
331,12/11/19,Dust2,L
332,12/11/19,Vertigo,W
333,08/11/19,Inferno,L
334,08/11/19,Mirage,L
335,07/11/19,Dust2,L
336,07/11/19,Inferno,L
337,04/11/19,Mirage,W
338,04/11/19,Vertigo,W
339,04/11/19,Train,W
340,04/11/19,Overpass,W
341,20/10/19,Mirage,W
342,20/10/19,Dust2,W
343,19/10/19,Inferno,W
344,19/10/19,Dust2,W
345,19/10/19,Overpass,L
346,19/10/19,Mirage,L
347,19/10/19,Inferno,W
348,16/10/19,Dust2,W
349,16/10/19,Inferno,W
350,15/10/19,Inferno,W
351,15/10/19,Mirage,W
352,14/10/19,Train,W
353,14/10/19,Dust2,W
354,14/10/19,Mirage,L
355,01/10/19,Dust2,L
356,01/10/19,Mirage,L
357,01/10/19,Inferno,W
358,01/10/19,Inferno,L
359,28/09/19,Overpass,L
360,28/09/19,Inferno,W
361,28/09/19,Dust2,L
362,27/09/19,Train,W
363,27/09/19,Dust2,W
364,26/09/19,Train,W
365,26/09/19,Inferno,W
366,25/09/19,Train,W
367,25/09/19,Dust2,W
368,25/09/19,Mirage,L
369,25/09/19,Overpass,L
370,24/09/19,Overpass,W
371,24/09/19,Vertigo,W
372,24/09/19,Dust2,W
373,24/09/19,Train,W
374,24/09/19,Inferno,W
375,24/09/19,Train,W
376,23/09/19,Dust2,L
377,23/09/19,Train,L
378,23/09/19,Inferno,W
379,23/09/19,Overpass,L
380,23/09/19,Dust2,W
381,22/09/19,Inferno,W
382,22/09/19,Dust2,W
383,22/09/19,Mirage,L
384,22/09/19,Overpass,L
385,22/09/19,Train,L
386,22/09/19,Inferno,W
387,22/09/19,Mirage,W
388,24/08/19,Vertigo,L
389,24/08/19,Overpass,L
390,23/08/19,Train,L
391,23/08/19,Overpass,L
392,15/08/19,Overpass,W
393,15/08/19,Inferno,W
394,15/08/19,Mirage,W
395,11/08/19,Overpass,W
396,11/08/19,Vertigo,L
397,11/08/19,Mirage,W
398,11/08/19,Overpass,W
399,11/08/19,Dust2,W
400,10/08/19,Dust2,W
401,10/08/19,Mirage,W
402,10/08/19,Train,L
403,10/08/19,Mirage,W
404,10/08/19,Inferno,W
405,09/08/19,Train,L
406,09/08/19,Inferno,L
407,09/08/19,Mirage,W
408,08/08/19,Dust2,W
409,08/08/19,Mirage,W
410,28/07/19,Inferno,W
411,28/07/19,Dust2,W
412,27/07/19,Train,L
413,27/07/19,Dust2,W
414,27/07/19,Inferno,L
415,26/07/19,Mirage,W
416,26/07/19,Overpass,W
417,24/07/19,Train,W
418,24/07/19,Mirage,W
419,24/07/19,Overpass,L
420,24/07/19,Mirage,W
421,06/07/19,Inferno,W
422,06/07/19,Nuke,L
423,06/07/19,Overpass,W
424,19/06/19,Overpass,L
425,19/06/19,Mirage,L
426,18/06/19,Vertigo,L
427,07/06/19,Inferno,W
428,07/06/19,Mirage,L
429,07/06/19,Overpass,W
430,07/06/19,Overpass,W
431,07/06/19,Train,W
432,06/06/19,Mirage,W
433,06/06/19,Train,W
434,06/06/19,Mirage,W
435,06/06/19,Dust2,W
436,29/05/19,Overpass,L
437,29/05/19,Inferno,L
438,28/05/19,Dust2,L
439,16/05/19,Mirage,W
440,16/05/19,Overpass,W
441,15/05/19,Train,W
442,15/05/19,Mirage,L
443,15/05/19,Dust2,W
444,14/05/19,Mirage,W
445,14/05/19,Overpass,W
446,11/05/19,Overpass,L
447,11/05/19,Inferno,W
448,11/05/19,Mirage,L
449,11/05/19,Mirage,W
450,11/05/19,Inferno,W
451,10/05/19,Overpass,W
452,10/05/19,Dust2,W
453,10/05/19,Mirage,W
454,10/05/19,Overpass,W
455,09/05/19,Inferno,L
456,09/05/19,Mirage,L
457,09/05/19,Train,W
458,09/05/19,Mirage,W
459,09/05/19,Dust2,W
460,21/04/19,Mirage,W
461,21/04/19,Dust2,W
462,20/04/19,Mirage,W
463,20/04/19,Inferno,W
464,19/04/19,Inferno,L
465,19/04/19,Mirage,W
466,19/04/19,Dust2,L
467,14/04/19,Dust2,W
468,14/04/19,Mirage,W
469,13/04/19,Dust2,L
470,13/04/19,Mirage,W
471,12/04/19,Inferno,W
472,12/04/19,Mirage,W
473,11/04/19,Dust2,W
474,11/04/19,Mirage,W
475,02/04/19,Train,L
476,02/04/19,Dust2,L
477,02/04/19,Inferno,W
478,01/04/19,Overpass,L
479,01/04/19,Inferno,L
480,01/04/19,Mirage,W
481,31/03/19,Dust2,W
482,31/03/19,Inferno,W
483,30/03/19,Dust2,L
484,30/03/19,Inferno,L
485,24/03/19,Dust2,L
486,24/03/19,Overpass,L
487,24/03/19,Inferno,W
488,24/03/19,Mirage,L
489,23/03/19,Train,W
490,23/03/19,Mirage,W
491,22/03/19,Train,W
492,22/03/19,Mirage,W
493,22/03/19,Overpass,L
494,22/03/19,Overpass,W
495,22/03/19,Cache,W
496,17/02/19,Cache,L
497,17/02/19,Dust2,L
