Index,Date,Map,Result
212,24/09/20,Mirage,W
213,23/09/20,Nuke,W
214,23/09/20,Vertigo,W
215,22/09/20,Mirage,W
216,22/09/20,Inferno,W
217,22/09/20,Dust2,L
218,22/09/20,Train,L
219,19/09/20,Vertigo,W
220,19/09/20,Nuke,W
221,18/09/20,Mirage,L
222,18/09/20,Inferno,L
223,16/09/20,Mirage,W
224,16/09/20,Nuke,W
225,11/09/20,Inferno,L
226,11/09/20,Nuke,L
227,11/09/20,Dust2,W
228,09/09/20,Train,L
229,09/09/20,Mirage,L
230,09/09/20,Nuke,W
231,05/09/20,Train,W
232,05/09/20,Inferno,L
233,05/09/20,Dust2,W
234,02/09/20,Inferno,W
235,02/09/20,Nuke,W
236,21/08/20,Nuke,L
237,21/08/20,Vertigo,L
238,19/08/20,Dust2,L
239,19/08/20,Train,L
240,19/08/20,Nuke,W
241,26/06/20,Nuke,L
242,26/06/20,Inferno,L
243,24/06/20,Vertigo,L
244,24/06/20,Dust2,L
245,06/06/20,Dust2,L
246,06/06/20,Train,L
247,05/06/20,Train,W
248,05/06/20,Overpass,W
249,04/06/20,Dust2,L
250,04/06/20,Train,T
251,03/06/20,Train,L
252,01/06/20,Train,W
253,31/05/20,Inferno,L
254,31/05/20,Train,W
255,31/05/20,Nuke,W
256,31/05/20,Dust2,L
257,31/05/20,Mirage,L
258,30/05/20,Inferno,W
259,30/05/20,Nuke,L
260,30/05/20,Mirage,W
261,24/05/20,Train,L
262,24/05/20,Inferno,L
263,23/05/20,Dust2,L
264,23/05/20,Vertigo,L
265,23/05/20,Nuke,W
266,22/05/20,Dust2,L
267,22/05/20,Inferno,L
268,10/05/20,Train,W
269,10/05/20,Nuke,W
270,10/05/20,Overpass,L
271,08/05/20,Train,L
272,08/05/20,Overpass,L
273,03/05/20,Dust2,W
274,03/05/20,Train,W
275,03/05/20,Vertigo,L
276,01/05/20,Train,L
277,01/05/20,Mirage,L
278,29/04/20,Train,W
279,29/04/20,Dust2,W
280,29/04/20,Inferno,L
281,26/04/20,Mirage,L
282,26/04/20,Vertigo,L
283,24/04/20,Train,L
284,24/04/20,Inferno,L
285,12/04/20,Mirage,L
286,12/04/20,Nuke,L
287,12/04/20,Vertigo,W
288,12/04/20,Dust2,W
289,12/04/20,Overpass,L
290,11/04/20,Nuke,W
291,11/04/20,Inferno,L
292,11/04/20,Dust2,W
293,09/04/20,Dust2,L
294,09/04/20,Inferno,L
295,08/04/20,Nuke,L
296,08/04/20,Inferno,L
297,07/04/20,Dust2,W
298,07/04/20,Nuke,W
299,06/04/20,Dust2,W
300,06/04/20,Train,L
301,06/04/20,Nuke,W
302,05/04/20,Train,W
303,05/04/20,Nuke,W
304,03/04/20,Train,W
305,03/04/20,Nuke,W
306,01/04/20,Train,W
307,01/04/20,Mirage,W
308,31/03/20,Train,W
309,31/03/20,Vertigo,W
310,29/03/20,Inferno,L
311,29/03/20,Train,L
312,29/03/20,Mirage,W
313,28/03/20,Dust2,W
314,28/03/20,Train,W
315,28/03/20,Nuke,L
316,27/02/20,Nuke,L
317,27/02/20,Dust2,L
318,27/02/20,Inferno,W
319,27/02/20,Dust2,W
320,27/02/20,Train,W
321,26/02/20,Nuke,L
322,26/02/20,Inferno,L
323,26/02/20,Dust2,W
324,24/02/20,Dust2,W
325,24/02/20,Inferno,W
326,06/02/20,Nuke,W
327,06/02/20,Train,L
328,06/02/20,Inferno,W
329,06/02/20,Dust2,W
330,05/02/20,Nuke,W
331,05/02/20,Dust2,W
332,05/02/20,Vertigo,L
333,02/02/20,Train,W
334,02/02/20,Vertigo,W
335,01/02/20,Dust2,W
336,01/02/20,Mirage,W
337,22/12/19,Nuke,L
338,22/12/19,Mirage,L
339,22/12/19,Inferno,W
340,22/12/19,Overpass,W
341,22/12/19,Train,W
342,18/12/19,Inferno,W
343,18/12/19,Train,W
344,18/12/19,Dust2,W
345,18/12/19,Mirage,W
346,18/12/19,Inferno,L
347,16/12/19,Train,W
348,16/12/19,Vertigo,L
349,16/12/19,Mirage,W
350,15/12/19,Dust2,W
351,15/12/19,Inferno,W
352,15/12/19,Mirage,L
353,15/12/19,Vertigo,W
354,15/12/19,Mirage,W
355,14/12/19,Vertigo,L
356,14/12/19,Mirage,W
357,13/12/19,Dust2,L
358,13/12/19,Vertigo,L
359,12/12/19,Vertigo,L
360,12/12/19,Mirage,W
361,12/12/19,Dust2,W
362,12/12/19,Mirage,W
363,08/12/19,Mirage,W
364,08/12/19,Train,W
365,08/12/19,Inferno,W
366,07/12/19,Dust2,W
367,07/12/19,Overpass,L
368,07/12/19,Train,W
369,06/12/19,Nuke,W
370,06/12/19,Inferno,L
371,06/12/19,Train,W
372,05/12/19,Dust2,W
373,05/12/19,Vertigo,W
374,05/12/19,Inferno,W
375,05/12/19,Train,W
376,05/12/19,Nuke,L
377,04/12/19,Dust2,L
378,04/12/19,Vertigo,W
379,04/12/19,Nuke,L
380,03/12/19,Nuke,W
381,24/11/19,Inferno,W
382,24/11/19,Train,W
383,24/11/19,Dust2,W
384,24/11/19,Inferno,W
385,24/11/19,Overpass,L
386,23/11/19,Nuke,W
387,23/11/19,Overpass,W
388,21/11/19,Dust2,L
389,21/11/19,Inferno,W
390,21/11/19,Mirage,L
391,20/11/19,Inferno,W
392,20/11/19,Dust2,W
393,31/10/19,Mirage,L
394,31/10/19,Vertigo,L
395,31/10/19,Vertigo,W
396,31/10/19,Dust2,W
397,30/10/19,Inferno,W
398,30/10/19,Nuke,W
399,28/10/19,Mirage,L
400,28/10/19,Overpass,L
401,23/10/19,Inferno,L
402,23/10/19,Train,L
403,23/10/19,Train,W
404,23/10/19,Dust2,W
405,21/10/19,Train,L
406,21/10/19,Nuke,W
407,21/10/19,Mirage,L
408,14/10/19,Inferno,L
409,14/10/19,Nuke,W
410,14/10/19,Dust2,L
411,10/10/19,Overpass,W
412,10/10/19,Train,W
413,09/10/19,Train,W
414,09/10/19,Vertigo,W
415,08/10/19,Inferno,W
416,08/10/19,Dust2,L
417,08/10/19,Train,W
418,04/10/19,Dust2,L
419,04/10/19,Inferno,W
420,04/10/19,Mirage,L
421,03/10/19,Mirage,W
422,03/10/19,Inferno,L
423,03/10/19,Dust2,W
424,03/10/19,Nuke,W
425,03/10/19,Mirage,W
426,02/10/19,Train,W
427,02/10/19,Mirage,W
428,01/10/19,Inferno,L
429,22/09/19,Inferno,L
430,22/09/19,Mirage,L
431,20/09/19,Dust2,W
432,20/09/19,Mirage,W
433,20/09/19,Dust2,W
434,20/09/19,Overpass,W
435,18/09/19,Mirage,W
436,18/09/19,Nuke,L
437,18/09/19,Dust2,W
438,18/09/19,Inferno,W
439,18/09/19,Dust2,W
440,16/09/19,Dust2,W
441,16/09/19,Inferno,W
442,16/09/19,Mirage,W
443,16/09/19,Dust2,W
444,16/09/19,Dust2,W
445,12/09/19,Train,W
446,12/09/19,Overpass,W
447,12/09/19,Dust2,L
448,11/09/19,Train,W
449,11/09/19,Mirage,W
450,11/09/19,Dust2,W
451,11/09/19,Inferno,W
452,01/09/19,Dust2,L
453,01/09/19,Mirage,L
454,31/08/19,Mirage,L
455,31/08/19,Vertigo,L
456,30/08/19,Nuke,W
457,29/08/19,Inferno,W
458,28/08/19,Mirage,L
459,24/08/19,Vertigo,W
460,24/08/19,Dust2,W
461,24/08/19,Train,L
462,23/08/19,Inferno,W
463,23/08/19,Inferno,W
464,20/07/19,Mirage,W
465,20/07/19,Inferno,W
466,19/07/19,Inferno,W
467,19/07/19,Dust2,W
468,18/07/19,Nuke,W
469,18/07/19,Vertigo,L
470,18/07/19,Mirage,W
471,18/07/19,Mirage,W
472,18/07/19,Dust2,W
